numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	3811756
4572957	202101	1479396
4572973	202101	1454957
4572998	202101	2002064
4573029	202101	393030
4573199	202101	2712934
4573369	202101	7759591
4573680	202101	5813648
4573758	202101	1150195
4573965	202101	7647401
4574204	202101	3090816
4574251	202101	7012248
4574383	202101	2801244
4574424	202101	5219722
4574581	202101	4972605
4574892	202101	6940003
4575074	202101	6247216
4575282	202101	591826
4575448	202101	5823813
4575615	202101	4757086
4575709	202101	7904453
4575913	202101	216043
4576026	202101	5753734
4576165	202101	845966
4576328	202101	4429625
4576397	202101	8080629
4576479	202101	5235303
4577138	202101	6344778
4577418	202101	894457
4577575	202101	6153887
4577625	202101	5027313
4578518	202101	6621453
4578536	202101	6071279
4578546	202101	2731965
4578640	202101	5848110
4578866	202101	2310537
4578973	202101	5607610
4578983	202101	7975277
4579278	202101	6874242
4579501	202101	290955
4580201	202101	3579986
4580302	202101	5684600
4580355	202101	880151
4580362	202101	1477104
4581185	202101	5607440
4581502	202101	4015249
4581565	202101	5906718
4582225	202101	8058952
4582272	202101	82428
4582407	202101	82762
4582652	202101	6075342
4582696	202101	6984095
4582866	202101	4727001
4583007	202101	8076236
4583010	202101	505644
4583038	202101	464314
4583145	202101	7049307
4583167	202101	5599303
4583440	202101	6312396
4583459	202101	2839848
4583635	202101	1105296
4583918	202101	1285933
4584015	202101	5402194
4584144	202101	7831550
4584257	202101	7589776
4584314	202101	3289352
4584427	202101	2089213
4584534	202101	4528983
4584565	202101	959285
4584568	202101	31969
4584970	202101	6378173
4585360	202101	1977760
4585577	202101	3469234
4585709	202101	254517
4585847	202101	5061556
4585957	202101	1146873
4586023	202101	6206155
4586079	202101	495830
4586152	202101	1582918
4587019	202101	4596511
4587327	202101	2333530
4587924	202101	5371336
4587971	202101	3720911
4588140	202101	3318234
4588294	202101	2936558
4588442	202101	4007172
4588819	202101	3491475
4589190	202101	8117486
4589274	202101	4329794
4589375	202101	4104901
4589466	202101	4468830
4589567	202101	3460846
4589962	202101	4452789
4589997	202101	1735541
4590019	202101	5395811
4590211	202101	2914148
4590409	202101	4512311
4590836	202101	3936779
4590977	202101	4903546
4591043	202101	2094363
4591225	202101	2196100
4591439	202101	5805700
4591470	202101	924000
4591763	202101	4447990
4591841	202101	1712202
4592202	202101	7650102
4592648	202101	7581241
4592787	202101	5321259
4592890	202101	3435728
4592894	202101	1320688
4593135	202101	5718485
4593211	202101	6740328
4593239	202101	5525692
4593864	202101	1784567
4594163	202101	3692599
4594197	202101	910174
4594260	202101	3135267
4594345	202101	3909328
4594505	202101	5856087
4594599	202101	2548785
4594791	202101	1391627
4594954	202101	2956346
4595284	202101	5460386
4595806	202101	1182197
4595828	202101	168459
4595975	202101	3670027
4596101	202101	7280400
4596205	202101	3408150
4596494	202101	2637876
4596663	202101	1068646
4596695	202101	4941711
4597452	202101	6713416
4598124	202101	1762137
4598671	202101	871159
4598841	202101	4868373
4598963	202101	3382533
4599177	202101	470610
4599186	202101	1777674
4599538	202101	589135
4599814	202101	3765320
4599843	202101	6721543
4600634	202101	3720673
4600848	202101	5543184
4600892	202101	2636795
