numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	4639096
4572957	202101	1280057
4572973	202101	1384905
4572998	202101	2677945
4573029	202101	1508472
4573199	202101	3271844
4573369	202101	7841084
4573680	202101	5548824
4573758	202101	1726121
4573965	202101	7364539
4574204	202101	2157167
4574251	202101	6936954
4574383	202101	5744598
4574424	202101	5096959
4574581	202101	4046193
4574892	202101	7089224
4575074	202101	5998426
4575282	202101	698715
4575448	202101	5687942
4575615	202101	4509721
4575709	202101	7838948
4575913	202101	430295
4576026	202101	5978279
4576165	202101	1119478
4576328	202101	4588668
4576397	202101	8069266
4576479	202101	5159100
4577138	202101	5984180
4577418	202101	643497
4577575	202101	6828101
4577625	202101	4756806
4578518	202101	5599436
4578536	202101	6163646
4578546	202101	3188229
4578640	202101	5895944
4578866	202101	2412929
4578973	202101	5002157
4578983	202101	8006183
4579278	202101	6898372
4579501	202101	1487255
4580201	202101	4754771
4580302	202101	6021046
4580355	202101	895867
4580362	202101	1615609
4581185	202101	6272255
4581502	202101	4370126
4581565	202101	5792892
4582225	202101	7923524
4582272	202101	527274
4582407	202101	143849
4582652	202101	6006626
4582696	202101	6991689
4582866	202101	3577244
4583007	202101	8100351
4583010	202101	766060
4583038	202101	960878
4583145	202101	7321005
4583167	202101	5733051
4583440	202101	6143284
4583459	202101	4259399
4583635	202101	773163
4583918	202101	1853112
4584015	202101	5624114
4584144	202101	7730153
4584257	202101	7535325
4584314	202101	2827524
4584427	202101	4723563
4584534	202101	4612613
4584565	202101	1440745
4584568	202101	333024
4584970	202101	6724459
4585360	202101	2253985
4585577	202101	2804639
4585709	202101	352994
4585847	202101	4470438
4585957	202101	2536443
4586023	202101	6213683
4586079	202101	2853771
4586152	202101	2270649
4587019	202101	4503798
4587327	202101	2518082
4587924	202101	5287494
4587971	202101	4130090
4588140	202101	3280471
4588294	202101	2673149
4588442	202101	5051178
4588819	202101	3435058
4589190	202101	8100286
4589274	202101	4069030
4589375	202101	4605494
4589466	202101	3570691
4589567	202101	3379846
4589962	202101	4632102
4589997	202101	1543336
4590019	202101	4237084
4590211	202101	2510480
4590409	202101	3536925
4590836	202101	3930110
4590977	202101	4527161
4591043	202101	2526025
4591225	202101	3210797
4591439	202101	5825893
4591470	202101	701970
4591763	202101	5321596
4591841	202101	1354231
4592202	202101	7696644
4592648	202101	7768696
4592787	202101	5210267
4592890	202101	3069480
4592894	202101	3440168
4593135	202101	5728116
4593211	202101	6234046
4593239	202101	4912760
4593864	202101	1790339
4594163	202101	1919678
4594197	202101	513394
4594260	202101	3321252
4594345	202101	3998259
4594505	202101	5104123
4594599	202101	2949733
4594791	202101	901466
4594954	202101	3444778
4595284	202101	5136049
4595806	202101	725591
4595828	202101	388170
4595975	202101	3558511
4596101	202101	7497702
4596205	202101	3372415
4596494	202101	3613476
4596663	202101	1316455
4596695	202101	3248955
4597452	202101	6649925
4598124	202101	1048912
4598671	202101	1877396
4598841	202101	4362893
4598963	202101	3456365
4599177	202101	1265599
4599186	202101	1839900
4599538	202101	715145
4599814	202101	3265742
4599843	202101	6663700
4600634	202101	3567052
4600848	202101	5736790
4600892	202101	2704295
4601015	202101	7545397
4601888	202101	395356
4601963	202101	2111162
4601992	202101	1023137
4602343	202101	5775438
4602447	202101	2839871
4603088	202101	6469731
4603141	202101	6969111
4603160	202101	4973505
4603267	202101	3941349
4603280	202101	3879208
4603415	202101	5677327
4603826	202101	5316106
4603861	202101	5618843
4604056	202101	7384233
4604363	202101	5879939
4604568	202101	6165890
4604706	202101	7127186
4604781	202101	4145648
4604907	202101	637907
4604951	202101	4348595
4605017	202101	3183441
4605036	202101	2855858
4605130	202101	5257989
4605249	202101	1433469
4605278	202101	2791396
4605328	202101	353960
4605501	202101	6024011
4605601	202101	3534405
4606003	202101	1086794
4606113	202101	3177467
4606462	202101	2888859
4606468	202101	4408704
4606475	202101	2396283
4606503	202101	3161452
4606669	202101	5968315
4606870	202101	3182748
4606996	202101	7150342
4607065	202101	3556090
4607282	202101	450708
4607373	202101	4033591
4607555	202101	7055386
4607782	202101	1455159
4607816	202101	3395614
4607885	202101	6810663
4607891	202101	801802
4608005	202101	6201803
4608036	202101	8097231
4608196	202101	4838088
4608303	202101	861887
4608404	202101	3133398
4608488	202101	6678826
4608557	202101	5086823
4608834	202101	2305683
4608847	202101	1803555
4608938	202101	822668
4609060	202101	2034332
4609170	202101	3850503
4609271	202101	5125376
4609302	202101	4514618
4610241	202101	7503967
4610389	202101	1785659
4610581	202101	7231107
4610791	202101	2140431
4610939	202101	3131206
4610961	202101	1445079
4611184	202101	2179419
4611275	202101	3992101
4611435	202101	5416198
4611699	202101	5378868
4611705	202101	3886032
4611718	202101	5547962
4612054	202101	2661602
4612107	202101	1465205
4612233	202101	4227067
4612447	202101	5155546
4612604	202101	5427571
4612620	202101	2335042
4612623	202101	2271515
4612664	202101	7465747
4612953	202101	1588965
4613455	202101	7038121
4613587	202101	987861
4613788	202101	5987040
4613939	202101	1456916
4614036	202101	4811519
4614043	202101	4452028
4614087	202101	2830282
4614197	202101	4860531
4614580	202101	1619603
4614772	202101	488671
4614998	202101	2186124
4615331	202101	2747093
4615353	202101	3384546
4615632	202101	5759988
4615855	202101	5216973
4616182	202101	451435
4616374	202101	7409971
4616518	202101	4796565
4616569	202101	7624341
4616578	202101	1916540
4617140	202101	2100207
4617379	202101	5091194
4617533	202101	6277843
4617590	202101	7281356
4617612	202101	1411673
4618567	202101	1856131
4618677	202101	2970124
4619242	202101	2926310
4619804	202101	6864093
4620219	202101	5043144
4620376	202101	3009070
4620521	202101	7961741
4620593	202101	905395
4620649	202101	3983315
4621023	202101	5236783
4621061	202101	3459695
4621165	202101	6746029
4621328	202101	2199399
4621469	202101	6334705
4621551	202101	3970680
4621963	202101	1167433
4622186	202101	3384181
4622242	202101	1686885
4622544	202101	1674969
4622704	202101	4330922
4622830	202101	5629370
4623219	202101	7428267
4623794	202101	5206301
4623914	202101	3456559
4624294	202101	162885
4624435	202101	6059736
4624699	202101	3508283
4624815	202101	7407097
4624822	202101	6318586
4624982	202101	5247077
4625085	202101	4797440
4625274	202101	8178505
4625390	202101	6641319
4625462	202101	3176427
4626088	202101	7240042
4626201	202101	3712076
4626358	202101	547044
4626490	202101	6005823
4626512	202101	5901089
4626882	202101	191481
4627404	202101	2186713
4627684	202101	3582453
4627787	202101	3563964
4628054	202101	7388823
4628057	202101	7540365
4628060	202101	6106914
4628076	202101	592641
4628126	202101	3628889
4628397	202101	2430346
4628400	202101	4980899
4628525	202101	1510742
4628529	202101	5868756
4628547	202101	2237270
4628613	202101	6488896
4628833	202101	7609346
4629047	202101	5142963
4629053	202101	3976757
4629097	202101	633272
4629427	202101	2170850
4629688	202101	2484639
4630131	202101	437242
4630216	202101	6076681
4630379	202101	4979365
4630775	202101	3871922
4631054	202101	1887629
4631105	202101	1227720
4631334	202101	3161830
4631403	202101	622700
4631516	202101	3280270
4631570	202101	5979918
4631683	202101	3533182
4631727	202101	1499359
4631934	202101	1491275
4632063	202101	766273
4632145	202101	6998861
4632283	202101	2645364
4632606	202101	689551
4632625	202101	945248
4632697	202101	6516101
4633009	202101	1638608
4633046	202101	3977403
4633112	202101	3368294
4633206	202101	1141449
4633420	202101	7091589
4633511	202101	3987111
4633759	202101	4895168
4633832	202101	918265
4633942	202101	1436996
4634092	202101	1343262
4634840	202101	2355144
4634978	202101	7655892
4635003	202101	7437009
4635264	202101	6556877
4635836	202101	1086599
4636153	202101	4236384
4636464	202101	5169375
4636942	202101	589002
4637105	202101	1969894
4637118	202101	1552815
4637498	202101	292819
4637567	202101	3050807
4638195	202101	6068461
4638261	202101	3461154
4638478	202101	7541066
4638601	202101	5608066
4638751	202101	7285800
4639091	202101	2275671
4639141	202101	1647082
4639314	202101	1443514
4639342	202101	1029871
4639474	202101	3592211
4639571	202101	4918720
4639716	202101	2982311
4640046	202101	7604225
4640294	202101	6606112
4640558	202101	1613258
4640674	202101	2178285
4640938	202101	5168806
4641064	202101	7486690
4641368	202101	7292255
4641503	202101	850747
4641541	202101	6827867
4641563	202101	4164121
4641761	202101	5864046
4641821	202101	5871987
4642063	202101	4635001
4642103	202101	6406869
4642198	202101	6186714
4642242	202101	5147961
4642361	202101	7773905
4642364	202101	6825271
4642572	202101	2096820
4642688	202101	7732642
4642757	202101	3993857
4642795	202101	2497159
4642817	202101	2186342
4642839	202101	5435251
4643146	202101	7189570
4643266	202101	1493785
4643435	202101	2282086
4643536	202101	3028371
4643552	202101	6613892
4643571	202101	7549216
4643746	202101	2525364
4644032	202101	5696691
4644167	202101	6602702
4644227	202101	998271
4644450	202101	4304109
4644554	202101	5507477
4645063	202101	6424858
4645487	202101	2055866
4645657	202101	5602318
4645854	202101	7540154
4645946	202101	283586
4646137	202101	1426606
4646165	202101	1827639
4646879	202101	2497492
4647454	202101	3805382
4647827	202101	1257108
4647915	202101	5977551
4647972	202101	6735244
4648214	202101	7327547
4648374	202101	7727506
4648537	202101	5216957
4648569	202101	1799345
4648654	202101	5745527
4648757	202101	3796075
4648996	202101	5825328
4649426	202101	3775068
4649496	202101	1159767
4649734	202101	7154839
4649775	202101	3626693
4650777	202101	6120368
4650780	202101	2696284
4650787	202101	363860
4652194	202101	7456867
4652310	202101	7076147
4652571	202101	3958474
4652892	202101	4031018
4652917	202101	5450134
4652942	202101	1711630
4653096	202101	3033843
4653162	202101	3052370
4653259	202101	5997879
4653284	202101	6546460
4653671	202101	6326559
4653674	202101	1299243
4653765	202101	618634
4653872	202101	3848042
4654192	202101	1474815
4654330	202101	5519316
4654362	202101	3387080
4654447	202101	4208802
4654676	202101	6863636
4654695	202101	6650220
4654865	202101	4421288
4654877	202101	1834624
4655078	202101	7994442
4655125	202101	1248127
4655631	202101	2532978
4655675	202101	1500205
4655694	202101	1621305
4655788	202101	6552712
4655942	202101	1026457
4656014	202101	3739683
4656030	202101	6914847
4656171	202101	5040851
4656244	202101	6013177
4656278	202101	794498
4656382	202101	4062080
4656520	202101	1685830
4656602	202101	926614
4656655	202101	4080194
4656765	202101	2883932
4656988	202101	7838761
4657258	202101	7302342
4657346	202101	4639880
4657852	202101	4398676
4658110	202101	3800766
4658148	202101	636885
4658154	202101	4280956
4658455	202101	2885787
4658722	202101	3068583
4659213	202101	4671228
4659558	202101	7129736
4659740	202101	5306347
4659841	202101	2658697
4659935	202101	2100642
4660259	202101	2665775
4660658	202101	128400
4661066	202101	6135160
4661584	202101	4131550
4661610	202101	4218939
4661632	202101	8063092
4661738	202101	6916115
4661770	202101	999571
4662005	202101	8146125
4662442	202101	744940
4662524	202101	2984306
4662957	202101	1613876
4663256	202101	1697904
4663498	202101	4189960
4663934	202101	2083464
4664227	202101	3159243
4665018	202101	4833406
4665062	202101	5795748
4665565	202101	3314237
4665653	202101	5497240
4665794	202101	524143
4665848	202101	406693
4666712	202101	3212961
4667029	202101	1717453
4667038	202101	720127
4667151	202101	5059860
4667362	202101	4495744
4667384	202101	5685518
4667415	202101	3286490
4667745	202101	211004
4667764	202101	1885896
4668750	202101	4609639
4668754	202101	4182803
4669071	202101	1946706
4669275	202101	4977046
4669297	202101	2796057
4669627	202101	5958423
4669690	202101	5246558
4669693	202101	5252882
4669718	202101	2780468
4669775	202101	463857
4669897	202101	6497969
4669957	202101	6622126
4670500	202101	1651645
4670598	202101	7466862
4670682	202101	3688588
4670730	202101	6223097
4670840	202101	6625101
4671436	202101	7479608
4671779	202101	1012469
4672112	202101	2890677
4672150	202101	1332118
4672244	202101	5725827
4672382	202101	8002071
4672432	202101	4958118
4672599	202101	7327502
4672646	202101	31864
4673111	202101	1370526
4673325	202101	6337652
4673676	202101	1957398
4673680	202101	723967
4673796	202101	4552854
4674035	202101	5405033
4674236	202101	1052145
4674644	202101	4674535
4675244	202101	1746221
4675521	202101	3774055
4675527	202101	4381475
4675549	202101	1074179
4675753	202101	5585971
4675832	202101	3806297
4675841	202101	2902382
4675951	202101	315280
4676218	202101	2506625
4676278	202101	2055874
4676281	202101	1083145
4676827	202101	1127313
4677041	202101	7558974
4677355	202101	5749076
4677591	202101	3781508
4677698	202101	5173463
4677952	202101	2117846
4678037	202101	5900102
4678624	202101	7993398
4679020	202101	3610092
4679083	202101	3086350
4679250	202101	7093617
4679265	202101	4641279
4679316	202101	5272635
4679825	202101	6401739
4679919	202101	5412057
4679982	202101	1786566
4680252	202101	3313380
4680465	202101	3237357
4680930	202101	1987091
4681037	202101	4782877
4681185	202101	2854512
4681329	202101	3202085
4681552	202101	6781106
4681895	202101	7594160
4682011	202101	1056154
4682737	202101	2472863
4682752	202101	5564781
4682774	202101	6930208
4682919	202101	7464957
4683170	202101	1166479
4683261	202101	552084
4683274	202101	6271217
4683390	202101	4880131
4683400	202101	6172594
4683739	202101	4918566
4683871	202101	2173948
4683997	202101	3849560
4684003	202101	511694
4684100	202101	3101188
4684725	202101	1819526
4685134	202101	4701705
4685184	202101	6807232
4685209	202101	1285088
4685278	202101	2637334
4685561	202101	3576364
4685586	202101	1519144
4685608	202101	2490893
4685636	202101	5376612
4685966	202101	4628947
4686067	202101	4831014
4686073	202101	2923617
4686513	202101	4449500
4686786	202101	430157
4687506	202101	1366635
4687550	202101	7349323
4687902	202101	1260715
4688187	202101	3297581
4688231	202101	5326552
4688316	202101	4599847
4688483	202101	6593022
4689111	202101	1389512
4689234	202101	1418129
4689265	202101	7615960
4689956	202101	1813877
4690079	202101	3495269
4690811	202101	1342782
4691031	202101	1163037
4691420	202101	6371540
4691464	202101	8082529
4691533	202101	7756225
4691656	202101	2739330
4691684	202101	2831538
4692136	202101	1993866
4692356	202101	6420805
4692507	202101	4631441
4692746	202101	1513038
4693135	202101	7452050
4693242	202101	8077679
4693283	202101	7285101
4693783	202101	1311369
4694219	202101	7186697
4694455	202101	2896156
4694537	202101	3057940
4694596	202101	5462006
4694826	202101	7854991
4695463	202101	5139356
4695473	202101	221180
4695834	202101	6619346
4695881	202101	1689898
4695925	202101	7855286
4696139	202101	1306880
4696261	202101	6476626
4696362	202101	7111285
4696434	202101	6234055
4696544	202101	7710241
4696623	202101	1091940
4696714	202101	6260529
4696865	202101	3605641
4696877	202101	1727061
4697323	202101	2893006
4697483	202101	3840924
4697763	202101	3093045
4698671	202101	2727079
4699419	202101	5366140
4699582	202101	2168448
4699774	202101	6920563
4699799	202101	7893941
4700041	202101	749964
4700122	202101	634950
4700242	202101	1886894
4700499	202101	914099
4700763	202101	4100788
4700804	202101	1950865
4700845	202101	4353769
4701002	202101	2062303
4701175	202101	1335932
4701731	202101	460890
4701857	202101	1793070
4702249	202101	6544607
4702299	202101	6748793
4702381	202101	6625044
4702403	202101	6333895
4702654	202101	5420756
4702761	202101	5089512
4703449	202101	2001260
4703961	202101	2325333
4704074	202101	7172819
4704385	202101	4311501
4704605	202101	5036478
4704612	202101	1328478
4704784	202101	190881
4704803	202101	2358659
4704885	202101	2534674
4704957	202101	5321316
4704967	202101	6017026
4705064	202101	3560756
4705366	202101	5545472
4705435	202101	5476889
4705454	202101	7522990
4705589	202101	3041758
4705868	202101	4864351
4705909	202101	6296674
4706069	202101	1215240
4706132	202101	4455834
4706274	202101	6971611
4706537	202101	2993837
4706603	202101	1319055
4706713	202101	2043107
4707247	202101	3949906
4707697	202101	3626331
4707709	202101	2752651
4707873	202101	3442478
4708856	202101	6109864
4709591	202101	3676586
4709726	202101	3308297
4709729	202101	3088431
4709751	202101	4086557
4709814	202101	7818233
4710135	202101	4974025
4710251	202101	2482233
4710499	202101	4436932
4710710	202101	312330
4710926	202101	6325930
4711102	202101	1280444
4711551	202101	8039078
4711828	202101	234698
4712073	202101	1351255
4712450	202101	2300896
4713430	202101	6777598
4713509	202101	4130088
4713537	202101	5085032
4713644	202101	4723651
4713738	202101	6535291
4714225	202101	883167
4714907	202101	3645419
4715293	202101	3309070
4715909	202101	4441894
4716440	202101	4155869
4716616	202101	4876206
4716663	202101	1985817
4716713	202101	4796663
4716729	202101	2290553
4716905	202101	2496471
4717385	202101	2864566
4717533	202101	1666199
4718067	202101	4487046
4718108	202101	720863
4718130	202101	4927808
4718152	202101	3032701
4718155	202101	1467825
4718284	202101	7358134
4718469	202101	1468080
4718824	202101	2277454
4718840	202101	850224
4718846	202101	3773128
4719371	202101	1601917
4719509	202101	6226190
4719632	202101	4466898
4719638	202101	1691698
4719943	202101	7866758
4720018	202101	7106586
4720527	202101	6224197
4720835	202101	7253669
4720917	202101	1450747
4720920	202101	1275079
4721306	202101	1058425
4721378	202101	3001006
4721878	202101	5876789
4721912	202101	5491462
4722063	202101	6097636
4722082	202101	3293869
4722201	202101	7623338
4722368	202101	7328439
4722371	202101	1431814
4722516	202101	4728262
4722786	202101	4906396
4723207	202101	4632755
4723336	202101	5519020
4724134	202101	3204661
4724228	202101	925916
4724363	202101	4305767
4725070	202101	2062136
4725095	202101	1216974
4725126	202101	3842295
4725428	202101	4246637
4726612	202101	2092640
4726625	202101	1978331
4726628	202101	1849996
4726804	202101	1038560
4726860	202101	5468164
4727457	202101	882792
4727944	202101	554128
4728428	202101	3091495
4728544	202101	5421369
4728815	202101	5186546
4728877	202101	2622950
4729097	202101	8044762
4729242	202101	648946
4729295	202101	4182410
4729361	202101	6823740
4729757	202101	5825009
4729823	202101	1069797
4729905	202101	3910525
4730084	202101	4837537
4730128	202101	4454750
