numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	4437410
4572957	202101	1319866
4572973	202101	1183518
4572998	202101	1686887
4573029	202101	868313
4573199	202101	2674682
4573369	202101	7913714
4573680	202101	5499904
4573758	202101	1886048
4573965	202101	7404267
4574204	202101	2694727
4574251	202101	6922713
4574383	202101	5208382
4574424	202101	5009603
4574581	202101	5256163
4574892	202101	7044995
4575074	202101	6136879
4575282	202101	424641
4575448	202101	5472090
4575615	202101	4840072
4575709	202101	7971350
4575913	202101	181285
4576026	202101	5946262
4576165	202101	1142346
4576328	202101	5104372
4576397	202101	8088564
4576479	202101	5227958
4577138	202101	5835940
4577418	202101	1056317
4577575	202101	6675920
4577625	202101	5625701
4578518	202101	5829872
4578536	202101	6431704
4578546	202101	2935305
4578640	202101	5266744
4578866	202101	2333192
4578973	202101	5330547
4578983	202101	8004007
4579278	202101	6773021
4579501	202101	1333199
4580201	202101	4095817
4580302	202101	5954582
4580355	202101	1538396
4580362	202101	2126797
4581185	202101	6290366
4581502	202101	4321408
4581565	202101	5743444
4582225	202101	8000749
4582272	202101	365626
4582407	202101	270794
4582652	202101	5842727
4582696	202101	6887635
4582866	202101	3712223
4583007	202101	8057493
4583010	202101	684556
4583038	202101	1058471
4583145	202101	7446243
4583167	202101	5609485
4583440	202101	5908937
4583459	202101	4359479
4583635	202101	576488
4583918	202101	1570284
4584015	202101	5590477
4584144	202101	7870573
4584257	202101	7586250
4584314	202101	2736631
4584427	202101	3245956
4584534	202101	4067473
4584565	202101	1116377
4584568	202101	126711
4584970	202101	6507163
4585360	202101	1467931
4585577	202101	2834935
4585709	202101	425416
4585847	202101	5897255
4585957	202101	1852308
4586023	202101	6080822
4586079	202101	1677389
4586152	202101	2320248
4587019	202101	4562597
4587327	202101	3393167
4587924	202101	5582974
4587971	202101	3954787
4588140	202101	3730747
4588294	202101	2762395
4588442	202101	4826677
4588819	202101	4311069
4589190	202101	8095797
4589274	202101	3553968
4589375	202101	4935103
4589466	202101	4138161
4589567	202101	2866545
4589962	202101	3395886
4589997	202101	1129016
4590019	202101	5001302
4590211	202101	2470888
4590409	202101	3942462
4590836	202101	3611645
4590977	202101	5278499
4591043	202101	1850503
4591225	202101	2928654
4591439	202101	5619648
4591470	202101	1367006
4591763	202101	5057444
4591841	202101	1754167
4592202	202101	7738431
4592648	202101	7553948
4592787	202101	5409072
4592890	202101	4028018
4592894	202101	3155958
4593135	202101	5924461
4593211	202101	6483511
4593239	202101	5225223
4593864	202101	2403976
4594163	202101	2971725
4594197	202101	663892
4594260	202101	3445015
4594345	202101	4023100
4594505	202101	5245510
4594599	202101	2511594
4594791	202101	690479
4594954	202101	4013486
4595284	202101	5146497
4595806	202101	761123
4595828	202101	178358
4595975	202101	2420031
4596101	202101	7300396
4596205	202101	3675810
4596494	202101	4116280
4596663	202101	1826590
4596695	202101	4119211
4597452	202101	6592933
4598124	202101	1735513
4598671	202101	2759615
4598841	202101	5335258
4598963	202101	2980562
4599177	202101	610753
4599186	202101	1315927
4599538	202101	933951
4599814	202101	3148564
4599843	202101	6865022
4600634	202101	3169157
4600848	202101	5801544
4600892	202101	2934133
4601015	202101	7732670
4601888	202101	813159
4601963	202101	2338501
4601992	202101	675201
4602343	202101	6075985
4602447	202101	2340788
4603088	202101	6451393
4603141	202101	6922308
4603160	202101	4635705
4603267	202101	3586221
4603280	202101	3784763
4603415	202101	5753062
4603826	202101	5600859
4603861	202101	6098784
4604056	202101	7773446
4604363	202101	5801763
4604568	202101	6677230
4604706	202101	6981406
4604781	202101	4175891
4604907	202101	428775
4604951	202101	4921731
4605017	202101	3104861
4605036	202101	2546040
4605130	202101	5277367
4605249	202101	1283657
4605278	202101	2109479
4605328	202101	269998
4605501	202101	5956374
4605601	202101	4203750
4606003	202101	1024154
4606113	202101	2260996
4606462	202101	3978658
4606468	202101	4165328
4606475	202101	1553356
4606503	202101	3346164
4606669	202101	6052728
4606870	202101	3185501
4606996	202101	7207067
4607065	202101	4087795
4607282	202101	300671
4607373	202101	4010729
4607555	202101	6974455
4607782	202101	1577666
4607816	202101	3833643
4607885	202101	6803558
4607891	202101	433082
4608005	202101	6161788
4608036	202101	8106711
4608196	202101	4883871
4608303	202101	948403
4608404	202101	2756347
4608488	202101	6572852
4608557	202101	5015911
4608834	202101	1665409
4608847	202101	1981361
4608938	202101	1152938
4609060	202101	2192975
4609170	202101	3548198
4609271	202101	5187702
4609302	202101	4417423
4610241	202101	7343307
4610389	202101	2016169
4610581	202101	7769929
4610791	202101	1606679
4610939	202101	3014086
4610961	202101	1098357
4611184	202101	2084448
4611275	202101	3347384
4611435	202101	5671570
4611699	202101	5247783
4611705	202101	4542009
4611718	202101	4378449
4612054	202101	2591266
4612107	202101	1438252
4612233	202101	4401832
4612447	202101	5644375
4612604	202101	5346361
4612620	202101	2553539
4612623	202101	2684190
4612664	202101	7526457
4612953	202101	971095
4613455	202101	7232843
4613587	202101	847827
4613788	202101	6035530
4613939	202101	2294985
4614036	202101	4591831
4614043	202101	5006537
4614087	202101	2751796
4614197	202101	4272575
4614580	202101	1424334
4614772	202101	610618
4614998	202101	2219614
4615331	202101	2520030
4615353	202101	3956694
4615632	202101	6055245
4615855	202101	5484688
4616182	202101	144012
4616374	202101	7503865
4616518	202101	4665122
4616569	202101	7526158
4616578	202101	1882660
4617140	202101	1662332
4617379	202101	5640470
4617533	202101	6378252
4617590	202101	7400107
4617612	202101	1522607
4618567	202101	1693036
4618677	202101	3191190
4619242	202101	2030260
4619804	202101	7339115
4620219	202101	6107653
4620376	202101	3454913
4620521	202101	7963355
4620593	202101	788957
4620649	202101	4065056
4621023	202101	4580005
4621061	202101	3679568
4621165	202101	6727915
4621328	202101	2350763
4621469	202101	6044328
4621551	202101	4551381
4621963	202101	1647685
4622186	202101	3345523
4622242	202101	1613282
4622544	202101	1204785
4622704	202101	5112282
4622830	202101	5687269
4623219	202101	7375370
4623794	202101	5797775
4623914	202101	3709294
4624294	202101	126544
4624435	202101	5964868
4624699	202101	3535047
4624815	202101	7509841
4624822	202101	6122263
4624982	202101	4945617
4625085	202101	5166811
4625274	202101	8183643
4625390	202101	6742734
4625462	202101	3471014
4626088	202101	7273131
4626201	202101	3591441
4626358	202101	464641
4626490	202101	5122302
4626512	202101	5718308
4626882	202101	782287
4627404	202101	2314080
4627684	202101	4002644
4627787	202101	3669447
4628054	202101	7414601
4628057	202101	7334134
4628060	202101	6496745
4628076	202101	386128
4628126	202101	3665082
4628397	202101	2360354
4628400	202101	5292538
4628525	202101	1587558
4628529	202101	6487114
4628547	202101	1314191
4628613	202101	6165742
4628833	202101	7669201
4629047	202101	4839868
4629053	202101	3971226
4629097	202101	748549
4629427	202101	1376161
4629688	202101	3015382
4630131	202101	340140
4630216	202101	6003744
4630379	202101	4852554
4630775	202101	4494961
4631054	202101	2792900
4631105	202101	954267
4631334	202101	2749097
4631403	202101	1035888
4631516	202101	3120179
4631570	202101	6059576
4631683	202101	3908284
4631727	202101	1569177
4631934	202101	1392121
4632063	202101	636195
4632145	202101	6788775
4632283	202101	2108353
4632606	202101	1048064
4632625	202101	719248
4632697	202101	6852102
4633009	202101	1783177
4633046	202101	3475499
4633112	202101	4194259
4633206	202101	1516247
4633420	202101	7164168
4633511	202101	3410964
4633759	202101	4185001
4633832	202101	878264
4633942	202101	933576
4634092	202101	1216032
4634840	202101	1438576
4634978	202101	7675334
4635003	202101	7375601
4635264	202101	6192848
4635836	202101	753557
4636153	202101	4484049
4636464	202101	4848768
4636942	202101	566900
4637105	202101	2933346
4637118	202101	1671694
4637498	202101	130694
4637567	202101	2639048
4638195	202101	5784248
4638261	202101	3590811
4638478	202101	7725227
4638601	202101	5588107
4638751	202101	7008521
4639091	202101	2426145
4639141	202101	2354661
4639314	202101	1314829
4639342	202101	1150415
4639474	202101	3293730
4639571	202101	4504303
4639716	202101	3087342
4640046	202101	7553255
4640294	202101	7039895
4640558	202101	1530534
4640674	202101	1525387
4640938	202101	5411278
4641064	202101	7546184
4641368	202101	7125863
4641503	202101	580651
4641541	202101	6905476
4641563	202101	2913113
4641761	202101	5532405
4641821	202101	6257133
4642063	202101	4740320
4642103	202101	6034693
4642198	202101	5940394
4642242	202101	4501466
4642361	202101	7781413
4642364	202101	6900136
4642572	202101	2098148
4642688	202101	7732322
4642757	202101	4130649
4642795	202101	2876693
4642817	202101	3094459
4642839	202101	5953652
4643146	202101	7106121
4643266	202101	1523868
4643435	202101	2796033
4643536	202101	2572435
4643552	202101	6664574
4643571	202101	7703899
4643746	202101	2185830
4644032	202101	5970979
4644167	202101	6307339
4644227	202101	518911
4644450	202101	4337561
4644554	202101	5465437
4645063	202101	6697404
4645487	202101	2209645
4645657	202101	5620197
4645854	202101	7461846
4645946	202101	137282
4646137	202101	1625678
4646165	202101	1723768
4646879	202101	2419395
4647454	202101	4267000
4647827	202101	1156241
4647915	202101	5266008
4647972	202101	6797251
4648214	202101	7453456
4648374	202101	7744511
4648537	202101	5183036
4648569	202101	2511736
4648654	202101	5915691
4648757	202101	4057609
4648996	202101	5925569
4649426	202101	3583046
4649496	202101	1760943
4649734	202101	7074440
4649775	202101	2467379
4650777	202101	6135014
4650780	202101	2716813
4650787	202101	482961
4652194	202101	7441906
4652310	202101	7008643
4652571	202101	4471266
4652892	202101	3900097
4652917	202101	6182154
4652942	202101	1052492
4653096	202101	2525424
4653162	202101	3205068
4653259	202101	6195961
4653284	202101	6275794
4653671	202101	6068289
4653674	202101	742931
4653765	202101	861311
4653872	202101	3793210
4654192	202101	1523427
4654330	202101	5330461
4654362	202101	3433412
4654447	202101	4575402
4654676	202101	7105875
4654695	202101	6889679
4654865	202101	4666196
4654877	202101	2352096
4655078	202101	7948967
4655125	202101	1817574
4655631	202101	2386053
4655675	202101	1459493
4655694	202101	1624996
4655788	202101	6497011
4655942	202101	894685
4656014	202101	3591076
4656030	202101	7360430
4656171	202101	4708157
4656244	202101	6158313
4656278	202101	1068338
4656382	202101	3764752
4656520	202101	1538283
4656602	202101	361222
4656655	202101	3538651
4656765	202101	2537415
4656988	202101	7904323
4657258	202101	7163802
4657346	202101	5045916
4657852	202101	3996445
4658110	202101	4333103
4658148	202101	429417
4658154	202101	5076650
4658455	202101	2242115
4658722	202101	3107904
4659213	202101	5048638
4659558	202101	7061830
4659740	202101	4403322
4659841	202101	2963566
4659935	202101	2138174
4660259	202101	1526466
4660658	202101	28445
4661066	202101	6086371
4661584	202101	3713443
4661610	202101	3719093
4661632	202101	8082292
4661738	202101	7074417
4661770	202101	913097
4662005	202101	8117030
4662442	202101	1173549
4662524	202101	4004375
4662957	202101	1826876
4663256	202101	693462
4663498	202101	4657147
4663934	202101	2700189
4664227	202101	3454905
4665018	202101	5241693
4665062	202101	5879356
4665565	202101	2459400
4665653	202101	6074128
4665794	202101	249005
4665848	202101	181891
4666712	202101	2691139
4667029	202101	1244884
4667038	202101	325807
4667151	202101	5419310
4667362	202101	4735261
4667384	202101	5343561
4667415	202101	3009955
4667745	202101	155834
4667764	202101	2224500
4668750	202101	4404914
4668754	202101	4186442
4669071	202101	2012346
4669275	202101	4548293
4669297	202101	2013027
4669627	202101	5796288
4669690	202101	5411492
4669693	202101	5166553
4669718	202101	3109908
4669775	202101	456521
4669897	202101	6520378
4669957	202101	6747874
4670500	202101	2755066
4670598	202101	7566991
4670682	202101	3154970
4670730	202101	6801050
4670840	202101	6862071
4671436	202101	7486968
4671779	202101	1050308
4672112	202101	3715851
4672150	202101	1063177
4672244	202101	6017812
4672382	202101	7907256
4672432	202101	4974905
4672599	202101	7039187
4672646	202101	22081
4673111	202101	1444630
4673325	202101	6153491
4673676	202101	1893620
4673680	202101	1622773
4673796	202101	4185713
4674035	202101	5195759
4674236	202101	1004513
4674644	202101	4849776
4675244	202101	1731012
4675521	202101	3211894
4675527	202101	4459211
4675549	202101	1036355
4675753	202101	5928548
4675832	202101	3277693
4675841	202101	3008400
4675951	202101	699995
4676218	202101	2254666
4676278	202101	2406337
4676281	202101	1628567
4676827	202101	683540
4677041	202101	7555728
4677355	202101	5291996
4677591	202101	4663622
4677698	202101	4843902
4677952	202101	1657287
4678037	202101	5913053
4678624	202101	8098475
4679020	202101	3060558
4679083	202101	3010015
4679250	202101	7126072
4679265	202101	5073544
4679316	202101	5061254
4679825	202101	6432353
4679919	202101	4863713
4679982	202101	1731377
4680252	202101	2965079
4680465	202101	3338521
4680930	202101	2076359
4681037	202101	4924366
4681185	202101	3347080
4681329	202101	4091209
4681552	202101	6709773
4681895	202101	7611637
4682011	202101	903646
4682737	202101	2462062
4682752	202101	5582711
4682774	202101	6554955
4682919	202101	7503171
4683170	202101	1657842
4683261	202101	301342
4683274	202101	5591296
4683390	202101	4197150
4683400	202101	6012817
4683739	202101	5241969
4683871	202101	2147882
4683997	202101	3683397
4684003	202101	603825
4684100	202101	2757237
4684725	202101	2044104
4685134	202101	4613069
4685184	202101	7045235
4685209	202101	2383302
4685278	202101	2577182
4685561	202101	4019293
4685586	202101	1227208
4685608	202101	2755611
4685636	202101	5600218
4685966	202101	4883206
4686067	202101	5251055
4686073	202101	3266126
4686513	202101	4591092
4686786	202101	315721
4687506	202101	1333758
4687550	202101	6990809
4687902	202101	1689270
4688187	202101	4178309
4688231	202101	5765206
4688316	202101	5476703
4688483	202101	6748704
4689111	202101	1629697
4689234	202101	1329609
4689265	202101	7550203
4689956	202101	1971716
4690079	202101	3599956
4690811	202101	1341111
4691031	202101	828178
4691420	202101	6046355
4691464	202101	8027441
4691533	202101	7619065
4691656	202101	2184078
4691684	202101	2498414
4692136	202101	3083536
4692356	202101	5983921
4692507	202101	4632165
4692746	202101	1349293
4693135	202101	7260209
4693242	202101	8112502
4693283	202101	7216128
4693783	202101	1326533
4694219	202101	7144270
4694455	202101	2277260
4694537	202101	2649954
4694596	202101	5979261
4694826	202101	7786183
4695463	202101	4179115
4695473	202101	393232
4695834	202101	6800087
4695881	202101	1123677
4695925	202101	7792882
4696139	202101	2002391
4696261	202101	6439459
4696362	202101	7008320
4696434	202101	6356543
4696544	202101	7621185
4696623	202101	1741729
4696714	202101	6008544
4696865	202101	3171838
4696877	202101	2016686
4697323	202101	3757713
4697483	202101	3158575
4697763	202101	2788662
4698671	202101	2464186
4699419	202101	5225923
4699582	202101	2400779
4699774	202101	6984618
4699799	202101	7890497
4700041	202101	1033706
4700122	202101	189596
4700242	202101	2024278
4700499	202101	1203863
4700763	202101	4835661
4700804	202101	2292792
4700845	202101	4476854
4701002	202101	1877245
4701175	202101	2580006
4701731	202101	326482
4701857	202101	3589767
4702249	202101	6791924
4702299	202101	6617064
4702381	202101	6392534
