numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	2360962
4572957	202101	776532
4572973	202101	806392
4572998	202101	1201831
4573029	202101	512299
4573199	202101	1319204
4573369	202101	4718868
4573680	202101	3490366
4573758	202101	1049683
4573965	202101	4599743
4574204	202101	1724235
4574251	202101	4249490
4574383	202101	2899336
4574424	202101	2958308
4574581	202101	3391999
4574892	202101	4035157
4575074	202101	3586469
4575282	202101	475031
4575448	202101	3555107
4575615	202101	2843432
4575709	202101	4769201
4575913	202101	228443
4576026	202101	3483298
4576165	202101	683816
4576328	202101	2799987
4576397	202101	4916019
4576479	202101	3440773
4577138	202101	3565836
4577418	202101	752511
4577575	202101	4023210
4577625	202101	3150397
4578518	202101	3535882
4578536	202101	3691522
4578546	202101	2200246
4578640	202101	3197372
4578866	202101	1409699
4578973	202101	3271036
4578983	202101	4852837
4579278	202101	4286017
4579501	202101	629990
4580201	202101	2252158
4580302	202101	3463040
4580355	202101	845775
4580362	202101	1219656
4581185	202101	3747733
4581502	202101	2607851
4581565	202101	3523864
4582225	202101	4847949
4582272	202101	298037
4582407	202101	213326
4582652	202101	3530390
4582696	202101	4111411
4582866	202101	2700686
4583007	202101	4908828
4583010	202101	547986
4583038	202101	458408
4583145	202101	4463987
4583167	202101	3378457
4583440	202101	3804970
4583459	202101	2359358
4583635	202101	335436
4583918	202101	1005008
4584015	202101	3379662
4584144	202101	4688349
4584257	202101	4615030
4584314	202101	1924454
4584427	202101	2051991
4584534	202101	2727326
4584565	202101	693130
4584568	202101	166423
4584970	202101	3740912
4585360	202101	954559
4585577	202101	1993977
4585709	202101	355504
4585847	202101	3271939
4585957	202101	1304119
4586023	202101	3561930
4586079	202101	995694
4586152	202101	1205098
4587019	202101	2730313
4587327	202101	1937331
4587924	202101	3328334
4587971	202101	2485405
4588140	202101	1795621
4588294	202101	1565210
4588442	202101	3026607
4588819	202101	2598121
4589190	202101	4933100
4589274	202101	2774583
4589375	202101	2605591
4589466	202101	2713192
4589567	202101	1693159
4589962	202101	2641184
4589997	202101	1195838
4590019	202101	3148004
4590211	202101	1714422
4590409	202101	2400090
4590836	202101	1662607
4590977	202101	3379368
4591043	202101	1343196
4591225	202101	1957270
4591439	202101	3694535
4591470	202101	742421
4591763	202101	3203075
4591841	202101	976967
4592202	202101	4663357
