numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	2652673
4572957	202101	643765
4572973	202101	637409
4572998	202101	964427
4573029	202101	477190
4573199	202101	1716714
4573369	202101	4815596
4573680	202101	3166274
4573758	202101	1007442
4573965	202101	4509299
4574204	202101	1737509
4574251	202101	4178621
4574383	202101	3224244
4574424	202101	3081522
4574581	202101	3133595
4574892	202101	4283229
4575074	202101	3713175
4575282	202101	240226
4575448	202101	3386971
4575615	202101	2923519
4575709	202101	4832094
4575913	202101	140598
4576026	202101	3532078
4576165	202101	702203
4576328	202101	3090325
4576397	202101	4918519
4576479	202101	3166169
4577138	202101	3543294
4577418	202101	468451
4577575	202101	4081303
4577625	202101	3362184
4578518	202101	3449697
4578536	202101	3924449
4578546	202101	1810232
4578640	202101	3273321
4578866	202101	1494339
4578973	202101	3332532
4578983	202101	4860720
4579278	202101	4132846
4579501	202101	747976
4580201	202101	2445847
4580302	202101	3553969
4580355	202101	824496
4580362	202101	1319401
4581185	202101	3824929
4581502	202101	2538994
4581565	202101	3530878
4582225	202101	4877769
4582272	202101	178452
4582407	202101	159946
4582652	202101	3640668
4582696	202101	4189442
4582866	202101	2240484
4583007	202101	4902615
4583010	202101	342867
4583038	202101	692274
4583145	202101	4493901
4583167	202101	3362000
4583440	202101	3560029
4583459	202101	2502068
4583635	202101	308965
4583918	202101	1021756
4584015	202101	3401949
4584144	202101	4773886
4584257	202101	4619042
4584314	202101	1593975
4584427	202101	1997070
4584534	202101	2546243
4584565	202101	686238
4584568	202101	44260
4584970	202101	3911735
4585360	202101	753889
4585577	202101	1806611
4585709	202101	218087
4585847	202101	3635258
4585957	202101	1223816
4586023	202101	3619332
4586079	202101	904273
4586152	202101	1366490
4587019	202101	2756051
4587327	202101	2008191
4587924	202101	3395339
4587971	202101	2404957
4588140	202101	2253645
4588294	202101	1718749
4588442	202101	2977506
4588819	202101	2722761
4589190	202101	4923054
4589274	202101	2198202
4589375	202101	2807614
4589466	202101	2539435
4589567	202101	1634259
4589962	202101	2037262
4589997	202101	952682
4590019	202101	3051677
4590211	202101	1370982
4590409	202101	2388576
4590836	202101	2102870
4590977	202101	3226797
4591043	202101	1117935
4591225	202101	1803218
4591439	202101	3462341
4591470	202101	728350
4591763	202101	3105429
4591841	202101	1125926
4592202	202101	4712907
4592648	202101	4600587
4592787	202101	3186598
4592890	202101	2446381
4592894	202101	1651159
4593135	202101	3610237
4593211	202101	3956498
4593239	202101	3187591
4593864	202101	1267525
4594163	202101	1728130
4594197	202101	359732
4594260	202101	1992728
4594345	202101	2558177
4594505	202101	3245850
4594599	202101	1630654
4594791	202101	423141
4594954	202101	2418942
4595284	202101	3162338
4595806	202101	640151
4595828	202101	99132
4595975	202101	1478195
4596101	202101	4473903
4596205	202101	2190024
4596494	202101	2380545
4596663	202101	1181279
4596695	202101	2631110
4597452	202101	3966216
4598124	202101	1032970
4598671	202101	1714540
4598841	202101	3175101
4598963	202101	1855107
4599177	202101	466487
4599186	202101	704768
4599538	202101	438676
4599814	202101	2068749
4599843	202101	4157117
4600634	202101	1973468
4600848	202101	3457480
4600892	202101	1692636
4601015	202101	4696224
4601888	202101	372168
4601963	202101	1304587
4601992	202101	362642
4602343	202101	3690073
4602447	202101	1477680
4603088	202101	3975569
4603141	202101	4201662
4603160	202101	2850315
4603267	202101	2364342
4603280	202101	2188381
4603415	202101	3462977
4603826	202101	3451342
4603861	202101	3709920
4604056	202101	4738746
4604363	202101	3405215
4604568	202101	4025134
4604706	202101	4262890
4604781	202101	2570252
4604907	202101	168771
4604951	202101	2753638
4605017	202101	2086623
4605036	202101	1548369
4605130	202101	3236019
4605249	202101	1029725
4605278	202101	1354590
4605328	202101	204443
4605501	202101	3517295
4605601	202101	2595475
4606003	202101	659447
4606113	202101	1366185
4606462	202101	2501525
4606468	202101	2572622
4606475	202101	994702
4606503	202101	1993035
4606669	202101	3665320
4606870	202101	1888134
4606996	202101	4359655
4607065	202101	2440365
4607282	202101	163336
4607373	202101	2544539
4607555	202101	4263330
4607782	202101	917049
4607816	202101	2357826
4607885	202101	4187697
4607891	202101	255408
4608005	202101	3694529
4608036	202101	4926386
4608196	202101	2883089
4608303	202101	658723
4608404	202101	1601193
4608488	202101	3990207
4608557	202101	2975563
4608834	202101	996774
4608847	202101	1138628
4608938	202101	740817
4609060	202101	1222759
4609170	202101	2111599
4609271	202101	3071369
4609302	202101	2701790
4610241	202101	4490190
4610389	202101	1127611
4610581	202101	4736925
4610791	202101	1161029
4610939	202101	1784537
4610961	202101	644035
4611184	202101	1184966
4611275	202101	1947055
4611435	202101	3374338
4611699	202101	3196856
4611705	202101	2692092
4611718	202101	2635501
4612054	202101	1645413
4612107	202101	827629
4612233	202101	2458798
4612447	202101	3332471
4612604	202101	3120062
4612620	202101	1685809
4612623	202101	1675807
4612664	202101	4572916
4612953	202101	652046
4613455	202101	4353325
4613587	202101	542820
4613788	202101	3642512
4613939	202101	1324926
4614036	202101	2752246
4614043	202101	3089936
4614087	202101	1683879
4614197	202101	2644243
4614580	202101	708632
4614772	202101	328208
4614998	202101	1571108
4615331	202101	1626965
4615353	202101	2498322
4615632	202101	3777334
4615855	202101	3295865
