numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	2455817
4572957	202101	626219
4572973	202101	896064
4572998	202101	1301075
4573029	202101	235111
4573199	202101	1803239
4573369	202101	4750206
4573680	202101	3402246
4573758	202101	888543
4573965	202101	4622163
4574204	202101	1451863
4574251	202101	4305675
4574383	202101	2996411
4574424	202101	3084351
4574581	202101	3237430
4574892	202101	4068105
4575074	202101	3709865
4575282	202101	394278
4575448	202101	3359652
4575615	202101	2748004
4575709	202101	4804383
4575913	202101	214061
4576026	202101	3697795
4576165	202101	655411
4576328	202101	2967194
4576397	202101	4913759
4576479	202101	3230442
4577138	202101	3738005
4577418	202101	687036
4577575	202101	3983382
4577625	202101	2992703
4578518	202101	3513123
4578536	202101	3743068
4578546	202101	2054184
4578640	202101	3314491
4578866	202101	1277174
4578973	202101	3273076
4578983	202101	4856496
4579278	202101	4229259
4579501	202101	393475
4580201	202101	2086306
4580302	202101	3687559
4580355	202101	755311
4580362	202101	1269495
4581185	202101	3719978
4581502	202101	2535950
4581565	202101	3617606
4582225	202101	4881205
4582272	202101	120562
4582407	202101	105109
4582652	202101	3563741
4582696	202101	4191649
4582866	202101	2638807
4583007	202101	4915276
4583010	202101	304239
4583038	202101	536117
4583145	202101	4410444
4583167	202101	3565524
4583440	202101	3723104
4583459	202101	2326387
4583635	202101	378442
4583918	202101	979261
4584015	202101	3400915
4584144	202101	4771733
4584257	202101	4599084
4584314	202101	1689421
4584427	202101	1850692
4584534	202101	2664786
4584565	202101	818120
4584568	202101	47455
4584970	202101	3884933
4585360	202101	984942
4585577	202101	2266933
4585709	202101	221754
4585847	202101	3350572
4585957	202101	994488
4586023	202101	3596409
4586079	202101	809555
4586152	202101	1089814
4587019	202101	2775736
4587327	202101	2110552
4587924	202101	3442888
4587971	202101	2630746
4588140	202101	2025371
4588294	202101	1641677
4588442	202101	2960975
4588819	202101	2918947
4589190	202101	4930691
4589274	202101	2821290
4589375	202101	2835527
4589466	202101	2558209
4589567	202101	1814949
4589962	202101	2271787
4589997	202101	914879
4590019	202101	3185463
4590211	202101	2186102
4590409	202101	2579369
4590836	202101	2113772
4590977	202101	2972427
4591043	202101	1448412
4591225	202101	1950720
4591439	202101	3427022
4591470	202101	828633
4591763	202101	3048947
4591841	202101	1122681
4592202	202101	4718583
4592648	202101	4642806
4592787	202101	3246506
4592890	202101	2691689
4592894	202101	1303225
4593135	202101	3427666
4593211	202101	4097866
4593239	202101	3382220
4593864	202101	1308151
4594163	202101	1508221
4594197	202101	369000
4594260	202101	2065274
4594345	202101	2281263
4594505	202101	3495574
4594599	202101	1921107
4594791	202101	575602
4594954	202101	2098817
4595284	202101	3525649
4595806	202101	511311
4595828	202101	103486
4595975	202101	2478002
4596101	202101	4593847
4596205	202101	2047303
4596494	202101	2182109
4596663	202101	862226
4596695	202101	2588572
4597452	202101	4005668
4598124	202101	1124010
4598671	202101	1004586
4598841	202101	3231561
4598963	202101	1961766
4599177	202101	343522
4599186	202101	735669
4599538	202101	500739
4599814	202101	1914436
4599843	202101	4187018
4600634	202101	2369315
4600848	202101	3620105
4600892	202101	1777053
4601015	202101	4703710
4601888	202101	413140
4601963	202101	2105403
4601992	202101	275429
4602343	202101	3915162
4602447	202101	1409789
4603088	202101	3935351
4603141	202101	4233001
4603160	202101	2453445
4603267	202101	2484235
4603280	202101	2165173
4603415	202101	3574056
4603826	202101	3413912
4603861	202101	3949857
4604056	202101	4658657
4604363	202101	3665688
4604568	202101	3932962
4604706	202101	4272423
4604781	202101	2669345
4604907	202101	203768
4604951	202101	2657396
4605017	202101	1820732
4605036	202101	1675054
4605130	202101	3209339
4605249	202101	881595
4605278	202101	754711
4605328	202101	171290
4605501	202101	3605140
4605601	202101	2688152
4606003	202101	755057
4606113	202101	1475680
4606462	202101	2675847
4606468	202101	2921704
4606475	202101	1147510
4606503	202101	2293256
4606669	202101	3762350
4606870	202101	2074485
4606996	202101	4356599
4607065	202101	2412544
4607282	202101	159818
4607373	202101	2541369
4607555	202101	4366646
4607782	202101	1143581
4607816	202101	2058511
4607885	202101	4072214
4607891	202101	326145
4608005	202101	3864514
4608036	202101	4926116
4608196	202101	2979742
4608303	202101	407940
4608404	202101	1945731
4608488	202101	3915773
4608557	202101	3040231
4608834	202101	1065400
4608847	202101	1020003
4608938	202101	322554
4609060	202101	1298616
4609170	202101	2242473
4609271	202101	3093633
4609302	202101	2965076
4610241	202101	4448802
4610389	202101	974678
4610581	202101	4676048
4610791	202101	1150164
4610939	202101	1685275
4610961	202101	946943
4611184	202101	1263483
4611275	202101	2025236
4611435	202101	3420062
4611699	202101	3169917
4611705	202101	2351856
4611718	202101	3167874
4612054	202101	1175238
4612107	202101	684910
4612233	202101	2462575
4612447	202101	3421994
4612604	202101	3478939
4612620	202101	1277240
4612623	202101	1213959
4612664	202101	4536065
4612953	202101	636380
4613455	202101	4291626
4613587	202101	478683
4613788	202101	3827841
4613939	202101	1308302
4614036	202101	2518679
4614043	202101	2896890
4614087	202101	1675811
4614197	202101	2653204
4614580	202101	1252109
4614772	202101	594885
4614998	202101	1420342
4615331	202101	1414862
4615353	202101	2411743
4615632	202101	3724887
4615855	202101	3544254
4616182	202101	34805
4616374	202101	4651789
4616518	202101	2867234
4616569	202101	4519248
4616578	202101	1371318
4617140	202101	1187247
4617379	202101	3645246
4617533	202101	4064371
4617590	202101	4550849
4617612	202101	882126
4618567	202101	1305494
4618677	202101	1953610
4619242	202101	1301610
4619804	202101	4439110
4620219	202101	3714988
4620376	202101	1751191
4620521	202101	4818711
4620593	202101	330478
4620649	202101	2538085
4621023	202101	3073934
4621061	202101	1973907
4621165	202101	4135228
4621328	202101	1266777
4621469	202101	3902340
4621551	202101	2896260
4621963	202101	667289
4622186	202101	1909074
4622242	202101	1191076
4622544	202101	412832
4622704	202101	2972000
4622830	202101	3285365
4623219	202101	4482989
4623794	202101	3315011
4623914	202101	2162804
4624294	202101	19058
4624435	202101	3746295
4624699	202101	2153004
4624815	202101	4666360
4624822	202101	3667935
4624982	202101	3228214
4625085	202101	3299064
4625274	202101	4973211
4625390	202101	4083862
4625462	202101	2018825
4626088	202101	4284884
4626201	202101	1976575
4626358	202101	408883
4626490	202101	3273887
4626512	202101	3489189
4626882	202101	189719
4627404	202101	1692194
4627684	202101	2569480
4627787	202101	2312153
4628054	202101	4516465
4628057	202101	4574633
4628060	202101	3915459
4628076	202101	195467
4628126	202101	2125471
4628397	202101	1234543
4628400	202101	3290867
4628525	202101	862070
4628529	202101	3863020
4628547	202101	800465
4628613	202101	3751451
4628833	202101	4660346
4629047	202101	2884158
4629053	202101	2351508
4629097	202101	335259
4629427	202101	985823
4629688	202101	1840475
4630131	202101	75427
4630216	202101	3916137
4630379	202101	2765089
4630775	202101	2683539
4631054	202101	883153
4631105	202101	332503
4631334	202101	1501505
4631403	202101	289895
4631516	202101	2067093
4631570	202101	3741106
4631683	202101	2235637
4631727	202101	1127806
4631934	202101	884023
4632063	202101	514495
4632145	202101	4071225
4632283	202101	1450762
4632606	202101	682136
4632625	202101	229909
4632697	202101	4047305
4633009	202101	750612
4633046	202101	2510970
4633112	202101	1988132
4633206	202101	957413
4633420	202101	4277867
4633511	202101	1870570
4633759	202101	2362137
4633832	202101	522945
4633942	202101	449202
4634092	202101	582997
4634840	202101	1007193
4634978	202101	4657783
4635003	202101	4548247
4635264	202101	3844407
4635836	202101	511517
4636153	202101	2756183
4636464	202101	2820419
4636942	202101	259314
4637105	202101	1491628
4637118	202101	733344
4637498	202101	153740
4637567	202101	1729468
4638195	202101	3761692
4638261	202101	2210597
4638478	202101	4708269
4638601	202101	3333002
4638751	202101	4200954
4639091	202101	1757398
4639141	202101	1232359
4639314	202101	603477
4639342	202101	745005
4639474	202101	1814769
4639571	202101	3242086
4639716	202101	2014554
4640046	202101	4592684
4640294	202101	4198977
4640558	202101	673106
4640674	202101	922417
4640938	202101	3275929
4641064	202101	4624929
4641368	202101	4299678
4641503	202101	487364
4641541	202101	4061541
4641563	202101	1706803
4641761	202101	3390880
4641821	202101	3862527
4642063	202101	2667745
4642103	202101	3821196
4642198	202101	3619885
4642242	202101	3001915
4642361	202101	4727546
4642364	202101	4277933
4642572	202101	1466890
4642688	202101	4691234
4642757	202101	2490543
4642795	202101	1989392
4642817	202101	1796617
4642839	202101	3327492
4643146	202101	4193059
4643266	202101	781848
4643435	202101	1480836
4643536	202101	1313729
4643552	202101	3866494
4643571	202101	4628577
4643746	202101	1426460
4644032	202101	3786998
4644167	202101	3773630
4644227	202101	297997
4644450	202101	2509793
4644554	202101	3273316
4645063	202101	4038264
4645487	202101	898661
4645657	202101	3641404
4645854	202101	4539924
4645946	202101	136654
4646137	202101	1156661
4646165	202101	984698
4646879	202101	1315653
4647454	202101	2953303
4647827	202101	531126
4647915	202101	3463121
4647972	202101	4196076
4648214	202101	4664601
4648374	202101	4731072
4648537	202101	3167207
4648569	202101	878114
4648654	202101	3668716
4648757	202101	2171329
4648996	202101	3441548
4649426	202101	2294364
4649496	202101	833358
4649734	202101	4217540
4649775	202101	1806751
4650777	202101	3726072
4650780	202101	1658278
4650787	202101	214215
4652194	202101	4554230
4652310	202101	4204386
4652571	202101	2691383
4652892	202101	2456411
4652917	202101	3207122
4652942	202101	486091
4653096	202101	1491312
4653162	202101	1874608
4653259	202101	3529005
4653284	202101	3968027
4653671	202101	3861856
4653674	202101	417696
4653765	202101	363833
4653872	202101	2123426
4654192	202101	1132004
4654330	202101	3268155
4654362	202101	1994871
4654447	202101	3133361
4654676	202101	4236282
4654695	202101	3985785
4654865	202101	2679750
4654877	202101	951579
4655078	202101	4844746
4655125	202101	1255509
4655631	202101	1303851
4655675	202101	924070
4655694	202101	959730
4655788	202101	3931021
4655942	202101	706812
4656014	202101	2623786
