numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	2311757
4572957	202101	988525
4572973	202101	819191
4572998	202101	1220258
4573029	202101	170330
4573199	202101	1793009
4573369	202101	4702606
4573680	202101	3558058
4573758	202101	648707
4573965	202101	4641696
4574204	202101	1877906
4574251	202101	4269831
4574383	202101	1653724
4574424	202101	3204357
4574581	202101	2939268
4574892	202101	4192128
4575074	202101	3839824
4575282	202101	387153
4575448	202101	3520164
4575615	202101	2900480
4575709	202101	4794204
4575913	202101	137492
4576026	202101	3588687
4576165	202101	395691
4576328	202101	2710966
4576397	202101	4911673
4576479	202101	3133061
4577138	202101	3885520
4577418	202101	621533
4577575	202101	3747490
4577625	202101	3055385
4578518	202101	3964490
4578536	202101	3714833
4578546	202101	1640448
4578640	202101	3521375
4578866	202101	1312439
4578973	202101	3460178
4578983	202101	4843207
4579278	202101	4221109
4579501	202101	143973
4580201	202101	2245953
4580302	202101	3449883
4580355	202101	504782
4580362	202101	874202
4581185	202101	3361674
4581502	202101	2377602
4581565	202101	3589147
4582225	202101	4889293
4582272	202101	44954
4582407	202101	63311
4582652	202101	3641909
4582696	202101	4252498
4582866	202101	2883821
4583007	202101	4909354
4583010	202101	284557
4583038	202101	239911
4583145	202101	4294383
4583167	202101	3388451
4583440	202101	3847713
4583459	202101	1758345
4583635	202101	650827
4583918	202101	703625
4584015	202101	3251583
4584144	202101	4780635
4584257	202101	4631459
4584314	202101	2026728
4584427	202101	1289242
4584534	202101	2680354
4584565	202101	520916
4584568	202101	27008
4584970	202101	3879210
4585360	202101	1118299
4585577	202101	2083766
4585709	202101	130153
4585847	202101	3143373
4585957	202101	693136
4586023	202101	3764623
4586079	202101	333954
4586152	202101	1045458
4587019	202101	2829521
4587327	202101	1472836
4587924	202101	3285964
4587971	202101	2164566
4588140	202101	2141007
4588294	202101	1705607
4588442	202101	2433159
4588819	202101	2182466
4589190	202101	4937085
4589274	202101	2627057
4589375	202101	2393207
4589466	202101	2854520
4589567	202101	2061374
4589962	202101	2843060
4589997	202101	1085605
4590019	202101	3301598
4590211	202101	1874663
4590409	202101	2695096
4590836	202101	2506588
4590977	202101	2995362
4591043	202101	1462580
4591225	202101	1296157
4591439	202101	3529087
4591470	202101	570574
4591763	202101	2612386
4591841	202101	1031398
4592202	202101	4641829
4592648	202101	4591848
4592787	202101	3194014
4592890	202101	2138500
4592894	202101	821967
4593135	202101	3503463
4593211	202101	4130959
4593239	202101	3322489
4593864	202101	1121765
4594163	202101	2085129
4594197	202101	566959
4594260	202101	1918587
4594345	202101	2523273
4594505	202101	3556537
4594599	202101	1537946
4594791	202101	965926
4594954	202101	1807963
4595284	202101	3293792
4595806	202101	697403
4595828	202101	91085
4595975	202101	2251435
4596101	202101	4400331
4596205	202101	2069314
4596494	202101	1539960
4596663	202101	529645
4596695	202101	2977718
