numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	2324887
4572957	202101	837966
4572973	202101	512155
4572998	202101	1057310
4573029	202101	526466
4573199	202101	1106035
4573369	202101	4774225
4573680	202101	3520294
4573758	202101	1216193
4573965	202101	4480220
4574204	202101	1858695
4574251	202101	4224046
4574383	202101	3550310
4574424	202101	3249432
4574581	202101	3213649
4574892	202101	4213595
4575074	202101	3733611
4575282	202101	693706
4575448	202101	3640222
4575615	202101	2957788
4575709	202101	4809815
4575913	202101	171014
4576026	202101	3550396
4576165	202101	482480
4576328	202101	2622584
4576397	202101	4912517
4576479	202101	3453504
4577138	202101	3313963
4577418	202101	870622
4577575	202101	4148352
4577625	202101	3294471
4578518	202101	3314276
4578536	202101	3979268
4578546	202101	2305162
4578640	202101	3149880
4578866	202101	1835397
4578973	202101	3281926
4578983	202101	4878292
4579278	202101	4229802
4579501	202101	504288
4580201	202101	2451250
4580302	202101	3669908
4580355	202101	1104523
4580362	202101	1579288
4581185	202101	3586608
4581502	202101	2632565
4581565	202101	3815537
4582225	202101	4805816
4582272	202101	491841
4582407	202101	262367
4582652	202101	3518258
4582696	202101	4131214
4582866	202101	2574284
4583007	202101	4920734
4583010	202101	536148
4583038	202101	937988
4583145	202101	4580589
4583167	202101	3437715
4583440	202101	3927856
4583459	202101	2921660
4583635	202101	210518
4583918	202101	1537948
4584015	202101	3460132
4584144	202101	4719937
4584257	202101	4695587
4584314	202101	1562885
4584427	202101	2642978
4584534	202101	2631094
4584565	202101	463160
4584568	202101	60259
4584970	202101	3798200
4585360	202101	768573
4585577	202101	1470807
4585709	202101	108860
4585847	202101	3373499
4585957	202101	1657848
4586023	202101	3613645
4586079	202101	1201310
4586152	202101	1237823
4587019	202101	3081342
4587327	202101	1964281
4587924	202101	3502918
4587971	202101	2507065
4588140	202101	2315198
4588294	202101	1797849
4588442	202101	2956988
4588819	202101	2685376
4589190	202101	4931633
4589274	202101	2812145
4589375	202101	3087086
4589466	202101	2829362
4589567	202101	1396995
4589962	202101	1888056
4589997	202101	1242325
4590019	202101	3068609
4590211	202101	859011
4590409	202101	2044682
4590836	202101	1911733
4590977	202101	3143664
4591043	202101	1173693
4591225	202101	2000594
4591439	202101	3746218
4591470	202101	261998
4591763	202101	2464148
4591841	202101	827555
4592202	202101	4732345
4592648	202101	4538479
4592787	202101	3212089
4592890	202101	2150973
4592894	202101	2115764
4593135	202101	3584110
4593211	202101	3634102
4593239	202101	3300144
4593864	202101	973618
4594163	202101	1506428
4594197	202101	352760
4594260	202101	1195428
4594345	202101	2490439
4594505	202101	3496281
4594599	202101	1876587
4594791	202101	328891
4594954	202101	2431030
4595284	202101	3467477
4595806	202101	599763
4595828	202101	163437
4595975	202101	1426571
4596101	202101	4524423
4596205	202101	2388481
4596494	202101	2672009
4596663	202101	1457964
4596695	202101	2665065
4597452	202101	3879904
4598124	202101	1777060
4598671	202101	1873194
4598841	202101	3152350
4598963	202101	2532647
4599177	202101	682932
4599186	202101	648689
4599538	202101	522550
4599814	202101	1198608
4599843	202101	4122494
4600634	202101	2051778
4600848	202101	3474911
4600892	202101	1180451
4601015	202101	4685809
4601888	202101	332388
4601963	202101	1250752
4601992	202101	542368
4602343	202101	3655625
4602447	202101	1126136
4603088	202101	3958687
4603141	202101	4149612
