numero_de_cliente	foto_mes	pred_acumulada
4572300	202101	2122462
4572957	202101	656298
4572973	202101	711828
4572998	202101	1469040
4573029	202101	312445
4573199	202101	1571289
4573369	202101	4703623
4573680	202101	3423236
4573758	202101	1088669
4573965	202101	4570566
4574204	202101	1662630
4574251	202101	4377880
4574383	202101	2743485
4574424	202101	3021242
4574581	202101	3240608
4574892	202101	3973741
4575074	202101	3582516
4575282	202101	323829
4575448	202101	3650531
4575615	202101	2721162
4575709	202101	4766117
4575913	202101	206028
4576026	202101	3534007
4576165	202101	676519
4576328	202101	2884900
4576397	202101	4918494
4576479	202101	3207248
4577138	202101	3694246
4577418	202101	934431
4577575	202101	3968304
4577625	202101	3025975
4578518	202101	3463476
4578536	202101	3856302
4578546	202101	1969758
4578640	202101	3424300
4578866	202101	1345527
4578973	202101	3190813
4578983	202101	4855934
4579278	202101	4208075
4579501	202101	378485
4580201	202101	1860237
4580302	202101	3539028
4580355	202101	660382
4580362	202101	1800513
4581185	202101	3730464
4581502	202101	2760012
4581565	202101	3603220
4582225	202101	4870466
4582272	202101	183234
4582407	202101	125286
4582652	202101	3344587
4582696	202101	4107879
4582866	202101	2733016
4583007	202101	4922838
4583010	202101	504417
4583038	202101	489662
4583145	202101	4474053
4583167	202101	3543194
4583440	202101	3732176
4583459	202101	2296735
4583635	202101	281963
4583918	202101	1104796
4584015	202101	3231417
4584144	202101	4687255
4584257	202101	4647574
4584314	202101	2006159
4584427	202101	1944212
4584534	202101	2623480
4584565	202101	910924
4584568	202101	133411
4584970	202101	3696938
4585360	202101	921127
4585577	202101	2225946
4585709	202101	169408
4585847	202101	3460051
4585957	202101	1446750
4586023	202101	3820273
4586079	202101	1018801
4586152	202101	1063247
4587019	202101	2751835
4587327	202101	2062622
4587924	202101	3361356
4587971	202101	2646831
4588140	202101	1984576
4588294	202101	1837993
4588442	202101	3072414
4588819	202101	2559052
4589190	202101	4931901
4589274	202101	3305862
4589375	202101	3007522
4589466	202101	2862611
4589567	202101	1481948
4589962	202101	2300680
4589997	202101	1046427
4590019	202101	3146676
4590211	202101	2129506
4590409	202101	2404672
4590836	202101	1543939
4590977	202101	2791414
4591043	202101	1552616
4591225	202101	1689960
4591439	202101	3574570
4591470	202101	593815
4591763	202101	2680948
4591841	202101	1125044
4592202	202101	4676986
4592648	202101	4590015
4592787	202101	3213143
4592890	202101	2689799
4592894	202101	1995103
4593135	202101	3477964
4593211	202101	3699244
4593239	202101	3408753
4593864	202101	1624156
4594163	202101	1779487
4594197	202101	393303
4594260	202101	1772596
4594345	202101	2624817
4594505	202101	3573424
4594599	202101	1793876
4594791	202101	575622
4594954	202101	2311877
4595284	202101	3582970
4595806	202101	725991
4595828	202101	143954
4595975	202101	1969755
4596101	202101	4666573
4596205	202101	2001763
4596494	202101	2307247
4596663	202101	1002581
4596695	202101	2574702
4597452	202101	3804460
4598124	202101	1468848
4598671	202101	1066441
4598841	202101	2849761
4598963	202101	2075815
4599177	202101	573862
4599186	202101	607093
4599538	202101	603299
4599814	202101	1865670
4599843	202101	4220648
4600634	202101	2353124
4600848	202101	3691562
4600892	202101	1483989
4601015	202101	4685267
4601888	202101	544474
4601963	202101	1691873
4601992	202101	374467
4602343	202101	3964828
4602447	202101	951090
4603088	202101	3956747
4603141	202101	4241367
4603160	202101	2316215
4603267	202101	2662385
4603280	202101	1900652
4603415	202101	3799566
4603826	202101	3457876
4603861	202101	3904951
4604056	202101	4663030
4604363	202101	3527712
4604568	202101	3819284
4604706	202101	4187702
4604781	202101	2834437
4604907	202101	241987
4604951	202101	2730376
4605017	202101	1735736
4605036	202101	1132706
4605130	202101	2850370
4605249	202101	983990
4605278	202101	648428
4605328	202101	133009
4605501	202101	3488374
4605601	202101	2225394
4606003	202101	716175
4606113	202101	2510000
4606462	202101	2812715
4606468	202101	2404102
4606475	202101	1070207
4606503	202101	1984077
4606669	202101	3806719
4606870	202101	1656630
4606996	202101	4392485
4607065	202101	2369801
4607282	202101	460107
4607373	202101	2385009
4607555	202101	4388739
4607782	202101	1071647
4607816	202101	2011957
4607885	202101	4194359
4607891	202101	282860
4608005	202101	3852974
4608036	202101	4930010
4608196	202101	3077444
4608303	202101	419815
4608404	202101	1796036
4608488	202101	3887081
4608557	202101	3160475
4608834	202101	1151171
4608847	202101	1348284
4608938	202101	608587
4609060	202101	1323684
4609170	202101	2406951
4609271	202101	3103450
4609302	202101	3344216
4610241	202101	4570089
4610389	202101	1214577
4610581	202101	4596770
4610791	202101	1158673
4610939	202101	1812578
4610961	202101	785558
4611184	202101	1198894
4611275	202101	2057000
4611435	202101	3108690
4611699	202101	3719486
4611705	202101	2235350
4611718	202101	3436747
4612054	202101	1803276
4612107	202101	765278
4612233	202101	2413138
4612447	202101	3578315
4612604	202101	3353457
4612620	202101	1903972
4612623	202101	1262485
4612664	202101	4507983
4612953	202101	628572
4613455	202101	4242401
4613587	202101	544367
4613788	202101	3737605
4613939	202101	1126398
4614036	202101	2519035
4614043	202101	3119639
4614087	202101	1754994
4614197	202101	3007173
4614580	202101	1170667
4614772	202101	379009
4614998	202101	1146541
4615331	202101	1577477
4615353	202101	2274450
4615632	202101	3889221
4615855	202101	3566055
4616182	202101	107899
4616374	202101	4697270
4616518	202101	3081763
4616569	202101	4586161
4616578	202101	1332121
4617140	202101	1141130
4617379	202101	3606970
4617533	202101	4200134
4617590	202101	4491332
4617612	202101	901937
4618567	202101	1098578
4618677	202101	1879951
4619242	202101	1329754
4619804	202101	4469581
4620219	202101	3692740
4620376	202101	1829589
4620521	202101	4842669
4620593	202101	790957
4620649	202101	2600855
4621023	202101	3143409
4621061	202101	1884410
4621165	202101	4221339
4621328	202101	1480518
4621469	202101	3754941
4621551	202101	3056767
4621963	202101	714197
4622186	202101	2384915
4622242	202101	1291256
4622544	202101	1091709
4622704	202101	3095492
4622830	202101	3351323
4623219	202101	4597572
4623794	202101	2933692
4623914	202101	2200056
4624294	202101	54759
4624435	202101	3755304
4624699	202101	2185495
4624815	202101	4595347
4624822	202101	3684704
4624982	202101	3208524
4625085	202101	3207829
4625274	202101	4971985
4625390	202101	3967628
4625462	202101	2245013
4626088	202101	4495249
4626201	202101	2184061
4626358	202101	636126
4626490	202101	2962545
4626512	202101	3082876
4626882	202101	108531
4627404	202101	2002972
4627684	202101	2753336
4627787	202101	2506077
4628054	202101	4574074
4628057	202101	4663075
4628060	202101	3944144
4628076	202101	371297
4628126	202101	2202991
4628397	202101	1436076
4628400	202101	3120529
4628525	202101	1222504
4628529	202101	3926906
4628547	202101	990672
4628613	202101	3799231
4628833	202101	4762377
4629047	202101	2634170
4629053	202101	2668234
4629097	202101	331073
4629427	202101	913898
4629688	202101	1907846
4630131	202101	146372
