cp	max_depth	min_split	minbucket	ganancia_promedio
-0.5	1	1000	2	5970000
-1	1	1000	1	5970000
-0.1	1	1000	2	5970000
-0.5	1	1000	1	5970000
-1	1	1000	4	5970000
-0.1	1	1000	1	5970000
-0.5	1	1000	4	5970000
-1	1	1000	2	5970000
-0.1	1	1000	4	5970000
-0.5	1	1000	2	5970000
-1	1	1000	5	5970000
-0.1	1	1000	2	5970000
-0.5	1	1000	5	5970000
-1	1	1000	4	5970000
-0.1	1	1000	5	5970000
-0.5	1	1000	4	5970000
-1	1	1000	7	5970000
-0.1	1	1000	4	5970000
-0.5	1	1000	7	5970000
-1	1	1000	5	5970000
-0.1	1	1000	7	5970000
-0.5	1	1000	5	5970000
-1	1	1000	9	5970000
-0.1	1	1000	5	5970000
-0.5	1	1000	9	5970000
-1	1	1000	7	5970000
-0.1	1	1000	9	5970000
-0.5	1	1000	7	5970000
-1	1	1000	10	5970000
-0.1	1	1000	7	5970000
-0.5	1	1000	10	5970000
-1	1	1000	9	5970000
-0.1	1	1000	10	5970000
-0.5	1	1000	9	5970000
-1	1	900	1	5970000
-0.1	1	1000	9	5970000
-0.5	1	900	1	5970000
-1	1	1000	10	5970000
-0.1	1	900	1	5970000
-0.5	1	1000	10	5970000
-1	1	900	2	5970000
-0.1	1	1000	10	5970000
-0.5	1	900	2	5970000
-1	1	900	1	5970000
-0.1	1	900	2	5970000
-0.5	1	900	1	5970000
-1	1	900	4	5970000
-0.1	1	900	1	5970000
-0.5	1	900	4	5970000
-1	1	900	2	5970000
-0.1	1	900	4	5970000
-0.5	1	900	2	5970000
-1	1	900	5	5970000
-0.1	1	900	2	5970000
-0.5	1	900	5	5970000
-1	1	900	4	5970000
-0.1	1	900	5	5970000
-0.5	1	900	4	5970000
-1	1	900	7	5970000
-0.1	1	900	4	5970000
-0.5	1	900	7	5970000
-1	1	900	5	5970000
-0.1	1	900	7	5970000
-0.5	1	900	5	5970000
-1	1	900	9	5970000
-0.1	1	900	5	5970000
-0.5	1	900	9	5970000
-1	1	900	7	5970000
-0.1	1	900	9	5970000
-0.5	1	900	7	5970000
-1	1	900	10	5970000
-0.1	1	900	7	5970000
-0.5	1	900	10	5970000
-1	1	900	9	5970000
-0.1	1	900	10	5970000
-0.5	1	900	9	5970000
-1	1	800	1	5970000
-0.1	1	900	9	5970000
-0.5	1	800	1	5970000
-1	1	900	10	5970000
-0.1	1	800	1	5970000
-0.5	1	900	10	5970000
-1	1	800	2	5970000
-0.1	1	900	10	5970000
-0.5	1	800	2	5970000
-1	1	800	1	5970000
-0.1	1	800	2	5970000
-0.5	1	800	1	5970000
-1	1	800	4	5970000
-0.5	1	800	4	5970000
-0.1	1	800	1	5970000
-0.1	1	800	4	5970000
-1	1	800	2	5970000
-1	1	800	5	5970000
-0.5	1	800	2	5970000
-0.5	1	800	5	5970000
-0.1	1	800	2	5970000
-0.1	1	800	5	5970000
-1	1	800	4	5970000
-1	1	800	7	5970000
-0.5	1	800	4	5970000
-0.5	1	800	7	5970000
-0.1	1	800	4	5970000
-0.1	1	800	7	5970000
-1	1	800	5	5970000
-1	1	800	9	5970000
-0.5	1	800	5	5970000
-0.5	1	800	9	5970000
-0.1	1	800	5	5970000
-0.1	1	800	9	5970000
-1	1	800	7	5970000
-1	1	800	10	5970000
-0.5	1	800	7	5970000
-0.5	1	800	10	5970000
-0.1	1	800	7	5970000
-0.1	1	800	10	5970000
-1	1	800	9	5970000
-1	1	700	1	5970000
-0.5	1	800	9	5970000
-0.5	1	700	1	5970000
-0.1	1	800	9	5970000
-0.1	1	700	1	5970000
-1	1	800	10	5970000
-1	1	700	2	5970000
-0.5	1	800	10	5970000
-0.5	1	700	2	5970000
-0.1	1	800	10	5970000
-0.1	1	700	2	5970000
-1	1	700	1	5970000
-1	1	700	4	5970000
-0.5	1	700	1	5970000
-0.5	1	700	4	5970000
-0.1	1	700	1	5970000
-0.1	1	700	4	5970000
-1	1	700	2	5970000
-1	1	700	5	5970000
-0.5	1	700	2	5970000
-0.5	1	700	5	5970000
-0.1	1	700	2	5970000
-0.1	1	700	5	5970000
-1	1	700	4	5970000
-1	1	700	7	5970000
-0.5	1	700	4	5970000
-0.5	1	700	7	5970000
-0.1	1	700	4	5970000
-0.1	1	700	7	5970000
-1	1	700	5	5970000
-1	1	700	9	5970000
-0.5	1	700	5	5970000
-0.5	1	700	9	5970000
-0.1	1	700	5	5970000
-0.1	1	700	9	5970000
-1	1	700	7	5970000
-1	1	700	10	5970000
-0.5	1	700	7	5970000
-0.5	1	700	10	5970000
-0.1	1	700	7	5970000
-0.1	1	700	10	5970000
-1	1	700	9	5970000
-1	1	600	1	5970000
-0.5	1	700	9	5970000
-0.5	1	600	1	5970000
-0.1	1	700	9	5970000
-0.1	1	600	1	5970000
-1	1	700	10	5970000
-1	1	600	2	5970000
-0.5	1	700	10	5970000
-0.5	1	600	2	5970000
-0.1	1	700	10	5970000
-0.1	1	600	2	5970000
-1	1	600	1	5970000
-1	1	600	4	5970000
-0.5	1	600	1	5970000
-0.5	1	600	4	5970000
-0.1	1	600	1	5970000
-0.1	1	600	4	5970000
-1	1	600	2	5970000
-1	1	600	5	5970000
-0.5	1	600	2	5970000
-0.5	1	600	5	5970000
-0.1	1	600	2	5970000
-0.1	1	600	5	5970000
-1	1	600	4	5970000
-1	1	600	7	5970000
-0.5	1	600	4	5970000
-0.5	1	600	7	5970000
-0.1	1	600	4	5970000
-0.1	1	600	7	5970000
-1	1	600	5	5970000
-1	1	600	9	5970000
-0.5	1	600	5	5970000
-0.5	1	600	9	5970000
-0.1	1	600	5	5970000
-0.1	1	600	9	5970000
-1	1	600	7	5970000
-1	1	600	10	5970000
-0.5	1	600	7	5970000
-0.5	1	600	10	5970000
-0.1	1	600	7	5970000
-0.1	1	600	10	5970000
-1	1	600	9	5970000
-1	1	400	1	5970000
-0.5	1	600	9	5970000
-0.5	1	400	1	5970000
-0.1	1	600	9	5970000
-0.1	1	400	1	5970000
-1	1	600	10	5970000
-1	1	400	2	5970000
-0.5	1	600	10	5970000
-0.5	1	400	2	5970000
-0.1	1	600	10	5970000
-0.1	1	400	2	5970000
-1	1	400	1	5970000
-1	1	400	4	5970000
-0.5	1	400	1	5970000
-0.5	1	400	4	5970000
-0.1	1	400	1	5970000
-0.1	1	400	4	5970000
-1	1	400	2	5970000
-1	1	400	5	5970000
-0.5	1	400	2	5970000
-0.5	1	400	5	5970000
-0.1	1	400	2	5970000
-0.1	1	400	5	5970000
-1	1	400	4	5970000
-1	1	400	7	5970000
-0.5	1	400	4	5970000
-0.5	1	400	7	5970000
-0.1	1	400	4	5970000
-0.1	1	400	7	5970000
-1	1	400	5	5970000
-1	1	400	9	5970000
-0.5	1	400	5	5970000
-0.5	1	400	9	5970000
-0.1	1	400	5	5970000
-0.1	1	400	9	5970000
-1	1	400	7	5970000
-1	1	400	10	5970000
-0.5	1	400	7	5970000
-0.5	1	400	10	5970000
-0.1	1	400	7	5970000
-0.1	1	400	10	5970000
-1	1	400	9	5970000
-0.5	1	400	9	5970000
-1	2	1000	1	6788000
-0.1	1	400	9	5970000
-0.5	2	1000	1	6788000
-1	1	400	10	5970000
-0.1	2	1000	1	6788000
-0.5	1	400	10	5970000
-0.1	1	400	10	5970000
-1	2	1000	2	6788000
-1	2	1000	1	6788000
-0.5	2	1000	2	6788000
-0.5	2	1000	1	6788000
-0.1	2	1000	2	6788000
-0.1	2	1000	1	6788000
-1	2	1000	4	6788000
-1	2	1000	2	6788000
-0.5	2	1000	4	6788000
-0.5	2	1000	2	6788000
-0.1	2	1000	4	6788000
-0.1	2	1000	2	6788000
-1	2	1000	5	6788000
-1	2	1000	4	6788000
-0.5	2	1000	5	6788000
-0.5	2	1000	4	6788000
-0.1	2	1000	5	6788000
-0.1	2	1000	4	6788000
-1	2	1000	7	6788000
-1	2	1000	5	6788000
-0.5	2	1000	7	6788000
-0.5	2	1000	5	6788000
-0.1	2	1000	7	6788000
-0.1	2	1000	5	6788000
-1	2	1000	9	6788000
-1	2	1000	7	6788000
-0.5	2	1000	9	6788000
-0.5	2	1000	7	6788000
-0.1	2	1000	9	6788000
-0.1	2	1000	7	6788000
-1	2	1000	10	6788000
-1	2	1000	9	6788000
-0.5	2	1000	10	6788000
-0.5	2	1000	9	6788000
-0.1	2	1000	10	6788000
-0.1	2	1000	9	6788000
-1	2	900	1	6788000
-1	2	1000	10	6788000
-0.5	2	900	1	6788000
-0.5	2	1000	10	6788000
-0.1	2	900	1	6788000
-0.1	2	1000	10	6788000
-1	2	900	2	6788000
-1	2	900	1	6788000
-0.5	2	900	2	6788000
-0.5	2	900	1	6788000
-0.1	2	900	2	6788000
-0.1	2	900	1	6788000
-1	2	900	4	6788000
-1	2	900	2	6788000
-0.5	2	900	4	6788000
-0.5	2	900	2	6788000
-0.1	2	900	4	6788000
-0.1	2	900	2	6788000
-1	2	900	5	6788000
-1	2	900	4	6788000
-0.5	2	900	5	6788000
-0.5	2	900	4	6788000
-0.1	2	900	5	6788000
-0.1	2	900	4	6788000
-1	2	900	7	6788000
-1	2	900	5	6788000
-0.5	2	900	7	6788000
-0.5	2	900	5	6788000
-0.1	2	900	7	6788000
-0.1	2	900	5	6788000
-1	2	900	9	6788000
-1	2	900	7	6788000
-0.5	2	900	9	6788000
-0.5	2	900	7	6788000
-0.1	2	900	9	6788000
-0.1	2	900	7	6788000
-1	2	900	10	6788000
-1	2	900	9	6788000
-0.5	2	900	10	6788000
-0.5	2	900	9	6788000
-0.1	2	900	10	6788000
-0.1	2	900	9	6788000
-1	2	800	1	6788000
-1	2	900	10	6788000
-0.5	2	800	1	6788000
-0.5	2	900	10	6788000
-0.1	2	800	1	6788000
-0.1	2	900	10	6788000
-1	2	800	2	6788000
-1	2	800	1	6788000
-0.5	2	800	2	6788000
-0.5	2	800	1	6788000
-0.1	2	800	2	6788000
-0.1	2	800	1	6788000
-1	2	800	4	6788000
-1	2	800	2	6788000
-0.5	2	800	4	6788000
-0.5	2	800	2	6788000
-0.1	2	800	4	6788000
-0.1	2	800	2	6788000
-1	2	800	5	6788000
-1	2	800	4	6788000
-0.5	2	800	5	6788000
-0.5	2	800	4	6788000
-0.1	2	800	5	6788000
-0.1	2	800	4	6788000
-1	2	800	7	6788000
-1	2	800	5	6788000
-0.5	2	800	7	6788000
-0.5	2	800	5	6788000
-0.1	2	800	7	6788000
-0.1	2	800	5	6788000
-1	2	800	9	6788000
-1	2	800	7	6788000
-0.5	2	800	9	6788000
-0.5	2	800	7	6788000
-0.1	2	800	9	6788000
-0.1	2	800	7	6788000
-1	2	800	10	6788000
-1	2	800	9	6788000
-0.5	2	800	10	6788000
-0.5	2	800	9	6788000
-0.1	2	800	10	6788000
-0.1	2	800	9	6788000
-1	2	700	1	6788000
-1	2	800	10	6788000
-0.5	2	700	1	6788000
-0.5	2	800	10	6788000
-0.1	2	700	1	6788000
-0.1	2	800	10	6788000
-1	2	700	2	6788000
-1	2	700	1	6788000
-0.5	2	700	2	6788000
-0.5	2	700	1	6788000
-0.1	2	700	2	6788000
-0.1	2	700	1	6788000
-1	2	700	4	6788000
-1	2	700	2	6788000
-0.5	2	700	4	6788000
-0.5	2	700	2	6788000
-0.1	2	700	4	6788000
-0.1	2	700	2	6788000
-1	2	700	5	6788000
-1	2	700	4	6788000
-0.5	2	700	5	6788000
-0.5	2	700	4	6788000
-0.1	2	700	5	6788000
-0.1	2	700	4	6788000
-1	2	700	7	6788000
-1	2	700	5	6788000
-0.5	2	700	7	6788000
-0.5	2	700	5	6788000
-0.1	2	700	7	6788000
-0.1	2	700	5	6788000
-1	2	700	9	6788000
-1	2	700	7	6788000
-0.5	2	700	9	6788000
-0.5	2	700	7	6788000
-0.1	2	700	9	6788000
-0.1	2	700	7	6788000
-1	2	700	10	6788000
-1	2	700	9	6788000
-0.5	2	700	10	6788000
-0.5	2	700	9	6788000
-0.1	2	700	10	6788000
-0.1	2	700	9	6788000
-1	2	600	1	6788000
-1	2	700	10	6788000
-0.5	2	600	1	6788000
-0.5	2	700	10	6788000
-0.1	2	600	1	6788000
-0.1	2	700	10	6788000
-1	2	600	2	6788000
-1	2	600	1	6788000
-0.5	2	600	2	6788000
-0.5	2	600	1	6788000
-0.1	2	600	2	6788000
-0.1	2	600	1	6788000
-1	2	600	4	6788000
-1	2	600	2	6788000
-0.5	2	600	4	6788000
-0.5	2	600	2	6788000
-0.1	2	600	4	6788000
-0.1	2	600	2	6788000
-1	2	600	5	6788000
-1	2	600	4	6788000
-0.5	2	600	5	6788000
-0.5	2	600	4	6788000
-0.1	2	600	5	6788000
-0.1	2	600	4	6788000
-1	2	600	7	6788000
-1	2	600	5	6788000
-0.5	2	600	7	6788000
-0.5	2	600	5	6788000
-0.1	2	600	7	6788000
-0.1	2	600	5	6788000
-1	2	600	9	6788000
-1	2	600	7	6788000
-0.5	2	600	9	6788000
-0.5	2	600	7	6788000
-0.1	2	600	9	6788000
-0.1	2	600	7	6788000
-1	2	600	10	6788000
-1	2	600	9	6788000
-0.5	2	600	10	6788000
-0.5	2	600	9	6788000
-0.1	2	600	10	6788000
-0.1	2	600	9	6788000
-1	2	400	1	6788000
-1	2	600	10	6788000
-0.5	2	400	1	6788000
-0.5	2	600	10	6788000
-0.1	2	400	1	6788000
-0.1	2	600	10	6788000
-1	2	400	2	6788000
-1	2	400	1	6788000
-0.5	2	400	2	6788000
-0.5	2	400	1	6788000
-0.1	2	400	2	6788000
-0.1	2	400	1	6788000
-1	2	400	4	6788000
-1	2	400	2	6788000
-0.5	2	400	4	6788000
-0.5	2	400	2	6788000
-0.1	2	400	4	6788000
-0.1	2	400	2	6788000
-1	2	400	5	6788000
-1	2	400	4	6788000
-0.5	2	400	5	6788000
-0.5	2	400	4	6788000
-0.1	2	400	5	6788000
-0.1	2	400	4	6788000
-1	2	400	7	6788000
-1	2	400	5	6788000
-0.5	2	400	7	6788000
-0.5	2	400	5	6788000
-0.1	2	400	7	6788000
-0.1	2	400	5	6788000
-1	2	400	9	6788000
-1	2	400	7	6788000
-0.5	2	400	9	6788000
-0.5	2	400	7	6788000
-0.1	2	400	9	6788000
-0.1	2	400	7	6788000
-1	2	400	10	6788000
-1	2	400	9	6788000
-0.5	2	400	10	6788000
-0.1	2	400	10	6788000
-1	3	1000	1	8074667
-0.5	3	1000	1	8074667
-0.1	3	1000	1	8074667
-1	3	1000	2	8074000
-0.5	3	1000	2	8074000
-0.1	3	1000	2	8074000
-1	3	1000	4	8243333
-0.5	3	1000	4	8243333
-0.1	3	1000	4	8243333
-1	3	1000	5	8243333
-0.5	3	1000	5	8243333
-0.1	3	1000	5	8243333
-1	3	1000	7	8241333
-0.5	3	1000	7	8241333
-0.1	3	1000	7	8241333
-1	3	1000	9	8168667
-0.5	3	1000	9	8168667
-0.1	3	1000	9	8168667
-1	3	1000	10	8168667
-0.5	3	1000	10	8168667
-0.1	3	1000	10	8168667
-1	3	900	1	8074667
-0.5	3	900	1	8074667
-0.1	3	900	1	8074667
-1	3	900	2	8074000
-0.5	3	900	2	8074000
-0.1	3	900	2	8074000
-1	3	900	4	8243333
-0.5	3	900	4	8243333
-0.1	3	900	4	8243333
-1	3	900	5	8243333
-0.5	3	900	5	8243333
-0.1	3	900	5	8243333
-1	3	900	7	8241333
-0.5	3	900	7	8241333
-0.1	3	900	7	8241333
-1	3	900	9	8168667
-0.5	3	900	9	8168667
-0.1	3	900	9	8168667
-1	3	900	10	8168667
-0.5	3	900	10	8168667
-0.1	3	900	10	8168667
-1	3	800	1	8074667
-0.5	3	800	1	8074667
-0.1	3	800	1	8074667
-1	3	800	2	8074000
-0.5	3	800	2	8074000
-0.1	3	800	2	8074000
-1	3	800	4	8243333
-0.5	3	800	4	8243333
-0.1	3	800	4	8243333
-1	3	800	5	8243333
-0.5	3	800	5	8243333
-0.1	3	800	5	8243333
-1	3	800	7	8241333
-0.5	3	800	7	8241333
-0.1	3	800	7	8241333
-1	3	800	9	8168667
-0.5	3	800	9	8168667
-0.1	3	800	9	8168667
-1	3	800	10	8168667
-0.5	3	800	10	8168667
-0.1	3	800	10	8168667
-1	3	700	1	8074667
-0.5	3	700	1	8074667
-0.1	3	700	1	8074667
-1	3	700	2	8074000
-0.5	3	700	2	8074000
-0.1	3	700	2	8074000
-1	3	700	4	8243333
-0.5	3	700	4	8243333
-0.1	3	700	4	8243333
-1	3	700	5	8243333
-0.5	3	700	5	8243333
-0.1	3	700	5	8243333
-1	3	700	7	8241333
-0.5	3	700	7	8241333
-0.1	3	700	7	8241333
-1	3	700	9	8168667
-0.5	3	700	9	8168667
-0.1	3	700	9	8168667
-1	3	700	10	8168667
-0.5	3	700	10	8168667
-0.1	3	700	10	8168667
-1	3	600	1	8074667
-0.5	3	600	1	8074667
-0.1	3	600	1	8074667
-1	3	600	2	8074000
-0.5	3	600	2	8074000
-0.1	3	600	2	8074000
-1	3	600	4	8243333
-0.5	3	600	4	8243333
-0.1	3	600	4	8243333
-1	3	600	5	8243333
-0.5	3	600	5	8243333
-0.1	3	600	5	8243333
-1	3	600	7	8241333
-0.5	3	600	7	8241333
-0.1	3	600	7	8241333
-1	3	600	9	8168667
-0.5	3	600	9	8168667
-0.1	3	600	9	8168667
-1	3	600	10	8168667
-0.5	3	600	10	8168667
-0.1	3	600	10	8168667
-1	3	400	1	8074667
-0.5	3	400	1	8074667
-0.1	3	400	1	8074667
-1	3	400	2	8074000
-0.5	3	400	2	8074000
-0.1	3	400	2	8074000
-1	3	400	4	8243333
-0.5	3	400	4	8243333
-0.1	3	400	4	8243333
-1	3	400	5	8243333
-0.5	3	400	5	8243333
-0.1	3	400	5	8243333
-1	3	400	7	8241333
-0.5	3	400	7	8241333
-0.1	3	400	7	8241333
-1	3	400	9	8168667
-0.5	3	400	9	8168667
-0.1	3	400	9	8168667
-1	3	400	10	8168667
-0.5	3	400	10	8168667
-0.1	3	400	10	8168667
-1	4	1000	1	8167333
-0.5	4	1000	1	8167333
-0.1	4	1000	1	8167333
-1	4	1000	2	8078000
-0.5	4	1000	2	8078000
-0.1	4	1000	2	8078000
-1	4	1000	4	8152000
-0.5	4	1000	4	8152000
-0.1	4	1000	4	8152000
-1	4	1000	5	8160000
-0.5	4	1000	5	8160000
-0.1	4	1000	5	8160000
-1	4	1000	7	8155333
-0.5	4	1000	7	8155333
-0.1	4	1000	7	8155333
-1	4	1000	9	8638000
-0.5	4	1000	9	8638000
-0.1	4	1000	9	8638000
-1	4	1000	10	8624667
-0.5	4	1000	10	8624667
-0.1	4	1000	10	8624667
-1	4	900	1	8167333
-0.5	4	900	1	8167333
-0.1	4	900	1	8167333
-1	4	900	2	8078000
-0.5	4	900	2	8078000
-0.1	4	900	2	8078000
-1	4	900	4	8140000
-0.5	4	900	4	8140000
-0.1	4	900	4	8140000
-1	4	900	5	8148000
-0.5	4	900	5	8148000
-0.1	4	900	5	8148000
-1	4	900	7	8143333
-0.5	4	900	7	8143333
-0.1	4	900	7	8143333
-1	4	900	9	8626000
-0.5	4	900	9	8626000
-0.1	4	900	9	8626000
-1	4	900	10	8610000
-0.5	4	900	10	8610000
-0.1	4	900	10	8610000
-1	4	800	1	8167333
-0.5	4	800	1	8167333
-0.1	4	800	1	8167333
-1	4	800	2	8078000
-0.5	4	800	2	8078000
-0.1	4	800	2	8078000
-1	4	800	4	8138667
-0.5	4	800	4	8138667
-0.1	4	800	4	8138667
-1	4	800	5	8146667
-0.5	4	800	5	8146667
-0.1	4	800	5	8146667
-1	4	800	7	8142000
-0.5	4	800	7	8142000
-0.1	4	800	7	8142000
-1	4	800	9	8622667
-0.5	4	800	9	8622667
-0.1	4	800	9	8622667
