fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 121156	0.0549266344038188	4652	676	10	5	0	1
20220408 121244	-0.0788060798964579	5134	790	18	5	9412000	2
20220408 121330	-0.491956730865058	5677	342	13	5	9292000	3
20220408 121419	-0.270564065632061	3215	240	11	5	9701000	4
20220408 121453	-0.598247543926118	7776	1156	4	5	8855000	5
20220408 121605	-0.904639996278274	4181	968	12	5	9772000	6
20220408 121655	0.0238600446304191	3534	1041	14	5	0	7
20220408 121750	-0.328621806218871	7099	1741	20	5	8855000	8
20220408 121818	-0.813512803337653	2956	120	3	5	8767000	9
20220408 121906	-0.207705721266393	6989	481	9	5	9138000	10
20220408 121942	-0.763581209098629	6105	1950	6	5	9222000	11
20220408 122027	-0.152497184230015	4693	1522	12	5	9316000	12
20220408 122128	-0.93259073543828	4996	39	19	5	9173000	13
20220408 122152	-0.0147867400525137	1406	424	3	5	8767000	14
20220408 122249	-0.673842619229108	7014	1717	16	5	8855000	15
20220408 122401	-0.722297705081292	6635	1825	14	5	9364000	16
20220408 122457	-0.0843257135645905	493	177	3	5	8767000	17
20220408 122639	-0.140367269929707	5933	519	20	5	9528000	18
20220408 122756	-0.838080677575012	6481	1497	15	5	9073000	19
20220408 122923	-0.228183673912329	2916	1458	17	5	9310000	20
20220408 123055	-0.372140745865693	3089	416	11	5	9703000	21
20220408 123152	-0.113309275034204	7926	2000	19	5	8855000	22
20220408 123331	-0.309870922966115	3378	1631	9	5	9558000	23
20220408 123520	-0.314408104731143	7598	584	13	5	8855000	24
20220408 123648	-0.427420927600887	2937	1462	8	5	9721000	25
20220408 123737	-0.411033476046184	20	3	5	5	9405000	26
20220408 123842	-0.950813484857858	7699	1657	8	5	8855000	27
20220408 123919	-0.367153810262354	2744	1338	3	5	8415000	28
20220408 124117	-0.429009988859566	457	220	12	5	8973000	29
20220408 124242	-0.509942595496908	5576	2000	10	5	9222000	30
20220408 124537	-0.104896882760969	162	16	19	5	5582000	31
20220408 124646	-0.0696532810699744	7158	601	3	5	8423000	32
20220408 124857	-0.161104625422126	7577	896	17	5	8855000	33
20220408 125036	-0.43490944804984	6733	2	7	5	9234000	34
20220408 125300	-0.24152953618555	3830	1885	10	5	9339000	35
20220408 125525	-0.737416271761892	2059	662	11	5	9912000	36
