fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 094706	-0.0983601264073513	6407	1290	9	5	9073000	1
20220408 094838	-0.416085138225753	6763	118	12	5	9173000	2
20220408 095004	-0.788249946819269	4506	559	15	5	9763000	3
20220408 095040	-0.531263442788622	3219	1129	3	5	8788000	4
20220408 095147	-0.3165806406294	4471	861	10	5	9693000	5
20220408 095304	-0.310556883577374	5737	1409	13	5	9140000	6
20220408 095440	-0.221701947397378	3856	306	18	5	9744000	7
20220408 095526	-0.596904953962075	7086	957	5	5	8855000	8
20220408 095621	-0.68037663934665	2340	137	7	5	9280000	9
20220408 095700	0.0239097091121949	7868	449	16	5	0	10
20220408 095801	-0.797065750429465	5269	1559	18	5	9073000	11
20220408 095913	-0.920125887594186	1612	90	14	5	9319000	12
20220408 095938	0.0442478322517128	7038	717	10	5	0	13
20220408 100024	-0.605477354060858	3915	848	19	5	9936000	14
20220408 100057	-0.371562404334545	5135	1825	6	5	9073000	15
20220408 100151	-0.00303945008199658	4634	46	17	5	9105000	16
20220408 100257	-0.0881882373832986	3703	1	16	5	9778000	17
20220408 100338	-0.141143225639647	4573	1534	8	5	9351000	18
20220408 100524	-0.0143904127002692	1967	1	20	5	9631000	19
20220408 100640	-0.680288298914465	5031	384	20	5	9371000	20
20220408 100811	-0.373807112287512	3423	2	20	5	9840000	21
20220408 100932	-0.776431879564039	1775	874	20	5	9931000	22
20220408 101011	-0.835588190667192	2718	921	3	5	8812000	23
20220408 101048	-0.254078984549224	5226	2	3	5	8562000	24
20220408 101149	-0.431609726031441	4277	770	20	5	9885000	25
20220408 101247	-0.332149165908114	1817	809	20	5	9379000	26
20220408 101418	-0.780091708045085	2888	2	20	5	10038000	27
20220408 101511	-0.729370188664906	3321	863	20	5	9855000	28
20220408 101701	-0.778387601104716	8	2	20	5	6316000	29
20220408 101821	-0.884400059371722	3071	570	20	5	9935000	30
20220408 101958	-0.548485371725305	3920	2	18	5	9853000	31
20220408 102055	-0.109836631062206	4827	1189	20	5	9712000	32
20220408 102221	-0.999632488636152	4194	1	19	5	9923000	33
20220408 102326	-0.917589210055328	6852	1	17	5	8987000	34
20220408 102415	-0.999212851793961	2200	1097	20	5	9734000	35
20220408 102500	-0.589870956465693	2447	536	20	5	10007000	36
20220408 102522	-0.157498863059358	6434	1999	3	5	8423000	37
20220408 102617	-0.795025433241259	2725	709	20	5	10054000	38
20220408 102729	-0.846886964498078	4030	1	20	5	10017000	39
20220408 102833	-0.943437778554616	3511	4	14	5	9839000	40
20220408 102947	-0.123657294629125	4702	3	20	5	9400000	41
20220408 103018	-0.863081586399379	6304	1187	4	5	9477000	42
20220408 103118	-0.999941158824169	5680	1210	12	5	9495000	43
20220408 103238	-0.434633952312866	3361	196	16	5	9693000	44
20220408 103313	-0.9647926450882	8000	2000	3	5	8423000	45
20220408 103454	-0.632984093746421	3245	65	20	5	9259000	46
20220408 103553	-0.56607916224589	2300	1148	20	5	10006000	47
20220408 103647	-0.527486388316674	4901	612	17	5	9485000	48
20220408 103822	-0.999974167187541	2570	169	20	5	9181000	49
20220408 103919	-0.939724857320709	4243	1036	20	5	9779000	50
20220408 103946	-0.999494389320303	5104	1	3	5	7916000	51
20220408 104042	-0.893742100671797	2356	1174	17	5	9977000	52
20220408 104150	-0.758511121899967	2380	585	16	5	10123000	53
20220408 104252	-0.365256131748038	4141	388	18	5	9699000	54
20220408 104359	-0.77942538018515	7995	1098	14	5	8855000	55
20220408 104446	-0.999910905572972	3885	1929	19	5	9218000	56
20220408 104532	-0.590933923003568	2063	864	15	5	9848000	57
20220408 104616	-0.547473364712803	2754	805	20	5	9987000	58
20220408 104705	-0.060722343796518	2824	1215	17	5	9919000	59
20220408 104742	-0.245890543652489	3178	1110	20	5	9891000	60
20220408 104813	-0.414550755744228	4769	1180	10	5	9710000	61
20220408 104903	-0.204072399178824	2522	967	10	5	10007000	62
20220408 105004	-0.0999862167703195	3388	1029	11	5	9853000	63
20220408 105108	-0.176595000990853	2599	901	20	5	9929000	64
20220408 105243	-0.91889773998647	4147	1	20	5	9875000	65
20220408 105342	-0.783497562910981	3720	2	14	5	9931000	66
20220408 105455	-0.0300017557684793	3411	1	20	5	9843000	67
20220408 105607	-0.25362725560832	2444	1	14	5	10105000	68
20220408 105721	-0.83860548462137	2459	2	15	5	10159000	69
20220408 105810	-0.383291305249442	2312	1	9	5	8865000	70
20220408 105925	-0.243255836969436	2550	2	20	5	9841000	71
20220408 110004	-0.252312595261614	2747	801	14	5	9987000	72
20220408 110058	-0.285884113602785	3815	1	14	5	10204000	73
20220408 110123	-0.693021071333089	6394	2000	5	5	9222000	74
20220408 110221	-0.430523240354351	4487	1	18	5	9669000	75
20220408 110302	-0.483409408542671	3951	1974	20	5	9302000	76
20220408 110405	-0.227637467513031	3163	2	13	5	10480000	77
20220408 110454	-0.0248455633717621	2	1	9	5	8805000	78
20220408 110542	-0.192775762263815	3006	5	12	5	9708000	79
20220408 110617	-0.445345516046479	8000	1991	19	5	8855000	80
20220408 110708	-0.239513393754845	3324	1	13	5	10194000	81
20220408 110744	-0.220539590411101	2472	1230	16	5	9860000	82
20220408 110830	-0.303650703298133	3051	4	14	5	9714000	83
20220408 110911	-0.224621629884785	756	2	11	5	9427000	84
20220408 110943	-0.391321525142109	3443	1308	20	5	9849000	85
20220408 111017	-0.676591845569462	2501	1248	18	5	9489000	86
20220408 111047	-0.586171350968353	5608	2000	20	5	9222000	87
20220408 111104	-0.735786511008776	6393	1	3	5	7916000	88
20220408 111143	-0.48994158748638	1130	565	20	5	9923000	89
20220408 111237	-0.503335350213993	2168	8	20	5	8873000	90
20220408 111314	-0.44032496300196	1885	941	20	5	10132000	91
