fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220408 190403	1813	8	156	43	5	11048000	1
20220408 192236	744	27	212	22	5	10130000	2
20220408 201722	1675	17	178	31	5	10577000	3
20220408 204435	1400	19	38	18	5	9885000	4
20220408 204718	964	3	495	10	5	9303000	5
20220408 211115	630	14	313	40	5	10696000	6
20220408 212510	1583	5	313	24	5	11108000	7
20220408 220717	1044	26	278	35	5	9662000	8
20220408 220822	180	9	248	6	5	11134000	9
20220408 224659	2043	30	374	17	5	10843000	10
20220409 004632	2167	22	386	48	5	9968000	11
20220409 012951	1206	11	103	46	5	10736000	12
20220409 020406	2329	18	67	13	5	10814000	13
20220409 020545	439	13	440	2	5	10731000	14
20220409 021748	386	23	10	27	5	8542000	15
20220409 023030	2414	2	408	38	5	9173000	16
20220409 024156	1282	6	220	19	5	11303000	17
20220409 024736	2499	7	308	2	5	8889000	18
20220409 031146	1502	6	207	38	5	11258000	19
20220409 033058	1428	9	252	19	5	11237000	20
20220409 033514	1525	5	158	5	5	9939000	21
20220409 034254	483	8	214	26	5	11427000	22
20220409 040003	1220	7	163	27	5	11552000	23
20220409 041044	951	6	1	25	5	11189000	24
20220409 042702	1116	7	292	28	5	11372000	25
20220409 042843	100	11	208	18	5	11754000	26
20220409 043005	100	12	152	13	5	11082000	27
20220409 043150	100	10	285	21	5	10806000	28
20220409 044405	889	11	121	16	5	11509000	29
20220409 044501	102	11	221	8	5	11112000	30
20220409 044646	100	11	2	19	5	10356000	31
20220409 045706	673	11	196	18	5	11659000	32
20220409 050121	340	9	192	17	5	11411000	33
20220409 052655	1350	11	131	23	5	11130000	34
20220409 053830	1112	5	218	29	5	11207000	35
