fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220426 005437	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	501	TRUE	0.011284351	0.588206711	4359	18	0.014946321	13723000	103
20220426 002425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.094387083	0.200496729	5657	1011	0.015071096	13707000	80
20220425 232823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.116050574	0.596996431	2820	675	0.015350211	13692000	22
20220426 001357	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	445	TRUE	0.010104116	0.576228495	3962	40	0.015517419	13679000	71
20220425 235538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	628	TRUE	0.010168858	0.493756854	4638	1023	0.015073895	13672000	56
20220426 010254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	794	TRUE	0.01008366	0.583625868	3017	1024	0.015245429	13650000	107
20220425 235125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	329	TRUE	0.01374679	0.462877701	2523	1023	0.015068954	13646000	54
20220426 002358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	823	TRUE	0.014711796	0.20002408	5677	724	0.015032291	13646000	79
20220426 000244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	592	TRUE	0.010009651	0.621380795	4395	16	0.016498716	13633000	61
20220425 234356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.043146781	0.501463035	5724	1024	0.015016603	13628000	47
20220426 000934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	202	TRUE	0.031907666	0.568805438	8000	197	0.014781582	13619000	69
20220426 004920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	329	TRUE	0.018415622	0.421092067	6574	694	0.015367769	13601000	96
20220426 005739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	741	TRUE	0.010410345	0.41265554	7624	137	0.015300135	13588000	104
20220426 003541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0256282	0.214395811	4288	16	0.015424264	13556000	87
20220425 235647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	301	TRUE	0.025016223	0.384444145	4703	16	0.015283356	13553000	57
20220426 010354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	139	TRUE	0.03552403	0.512033208	4312	1024	0.015939388	13545000	108
20220425 233302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.106501026	0.603341567	3733	30	0.01474328	13542000	33
20220425 233931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	399	TRUE	0.010285403	0.682685584	2920	17	0.01550046	13533000	41
20220426 004641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.010521104	0.582935025	4600	693	0.015763354	13517000	94
20220426 000554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	531	TRUE	0.010203683	0.371624266	5355	1024	0.016753615	13503000	63
20220426 001555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.041732654	0.609726386	4472	171	0.015351381	13499000	74
20220426 002117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	116	TRUE	0.049346203	0.425665984	2878	1024	0.014702717	13492000	78
20220426 011536	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1196	TRUE	0.011089181	0.201103101	5624	48	0.015673068	13473000	120
20220426 010416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.119609525	0.205157145	4496	1023	0.0154483	13463000	109
20220426 000045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.084092738	0.207036941	2664	1022	0.015184564	13456000	60
20220426 002011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	728	TRUE	0.01014451	0.286812154	8000	281	0.015742564	13434000	76
