fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220429 103346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.169989298362983	0.735435733599588	3469	436	0.0189735265778533	12491000	1
20220429 103410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.107466477326117	0.872877187654376	4439	209	0.0279329751613356	11404000	2
20220429 103504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.0662677142124157	0.492379494328052	1331	591	0.0492446412526382	7145000	3
20220429 103520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.247240013448871	0.932229494228959	3841	864	0.0236176153635218	11563000	4
20220429 103534	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.188357234039926	0.644441382642835	6551	819	0.0321729053403639	11175000	5
20220429 103604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.0809575556605123	0.828418894317001	2779	232	0.0334512544820124	10862000	6
20220429 103702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	0.142867971600266	0.401236291844398	459	959	0.0222462157835253	10919000	7
20220429 103809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	235	TRUE	0.0435568199099507	0.385296893529594	4803	322	0.0435375926152725	8919000	8
20220429 103827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.212511732154293	0.777089137947187	2327	501	0.0174826973476835	12442000	9
20220429 103838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.238383992121089	0.880921135330573	7062	310	0.0251086662067488	11979000	10
20220429 103854	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.257788789654267	0.703192812325433	4016	531	0.0454242979195745	8595000	11
20220429 103911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.221726569622173	0.359823543401435	5996	44	0.036313839671493	10206000	12
20220429 103938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.124108950511669	0.530937919253483	5483	922	0.0116087333027584	12695000	13
20220429 103952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.299395974940387	0.313961978657171	6056	416	0.0141273541249878	11739000	14
20220429 104017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.166059719580342	0.473976942114532	890	66	0.0388354518290726	9335000	15
20220429 104156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	317	TRUE	0.0186099226349033	0.566549413409084	7561	701	0.0464502828409119	8005000	16
