fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220430 022542	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	98	TRUE	0.142464142461249	0.423432782299018	4425	570	0.0340045644422866	40.4502352267238	83.8919438704449	31115000	1
20220430 022619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	228	TRUE	0.0591926056485473	0.231478346108426	3938	288	0.0253046823735487	66.4908894994629	23.4314417732613	32821000	2
20220430 022708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	334	TRUE	0.0709535152342453	0.2875346432124	6265	240	0.0432516614952917	31.054903243369	76.2762063748336	30562000	3
20220430 022804	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	311	TRUE	0.0466957417843098	0.347439871231992	3064	744	0.0276202115861538	46.4442043365645	92.5007918824641	32824000	4
20220430 022957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	380	TRUE	0.0105755560880477	0.427344245043683	3552	792	0.0153096893155071	80.4963641824933	57.9807560383675	34912000	5
20220430 023054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	266	TRUE	0.0753980221193134	0.369226765880428	178	728	0.0164345260302763	17.0767034387349	73.0346153764653	35791000	6
20220430 023116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	90	TRUE	0.111116594159809	0.35688160567245	2219	501	0.0414255322572509	52.7152190641833	51.6717028812439	29343000	7
20220430 023134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	79	TRUE	0.178153197798612	0.266592656926618	4122	472	0.0190295203226491	34.1298470123937	38.0965454104756	34863000	8
20220430 023152	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	66	TRUE	0.153298826514344	0.308347561914707	414	341	0.0225690066226802	23.9312548572863	11.8202973930498	33965000	9
20220430 023210	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	64	TRUE	0.127313078800466	0.372483941015422	6691	823	0.0247010937034723	75.6878390176488	33.1285213852035	31825000	10
20220430 023232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	85	TRUE	0.18292477147055	0.339275708663211	7363	185	0.0141508910960207	10.7022947914499	25.6281625013798	36699000	11
