fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220426 103523	0	0	0	1	auto	depthwise	256	0	1	0.269355900237802	0.608833802528679	3	11	0.0305823470334872	4	9448000	1
20220426 104030	0	0	0	1	auto	depthwise	256	0	1	0.187462825400638	0.708562422087416	9	25	0.0445291886790074	19	7016000	2
20220426 104157	0	0	0	1	auto	depthwise	256	0	1	0.254902945736307	0.344964181659743	9	5	0.0238160429211954	51	10800000	3
20220426 104916	0	0	0	1	auto	depthwise	256	0	1	0.122673524974729	0.786763029778376	2	15	0.0163429004707723	35	10578000	4
20220426 105311	0	0	0	1	auto	depthwise	256	0	1	0.167303346809233	0.529518113946542	8	30	0.0345038021885557	9	8317000	5
20220426 110842	0	0	0	1	auto	depthwise	256	0	1	0.0616402050319593	0.95411612582393	3	14	0.0326699669468023	93	9948000	6
20220426 111100	0	0	0	1	auto	depthwise	256	0	1	0.183121170684462	0.587885245708749	4	6	0.020434545011085	27	11347000	7
20220426 111523	0	0	0	1	auto	depthwise	256	0	1	0.133375060386839	0.458152924757451	5	17	0.0359558596363058	29	8873000	8
20220426 111751	0	0	0	1	auto	depthwise	256	0	1	0.275249390645302	0.381823952123523	6	19	0.00909025102446321	7	10861000	9
20220426 112115	0	0	0	1	auto	depthwise	256	0	1	0.202665143788443	0.857712786225602	10	8	0.0489888917184241	23	7546000	10
20220426 120417	0	0	0	1	auto	depthwise	256	0	1	0.0143849069216521	0.667925022747368	1	26	0.0392184166586958	158	6063000	11
20220426 122614	0	0	0	1	auto	depthwise	256	0	1	0.0266994890781352	0.279546436564997	0	27	0.0216270656591708	193	646000	12
20220426 123221	0	0	0	1	auto	depthwise	256	0	1	0.218171137424768	0.74791400320828	1	22	0.0258220632759427	5	6333000	13
20220426 123455	0	0	0	1	auto	depthwise	256	0	1	0.0726249365266412	0.431674571670592	4	3	0.0403630420357028	125	10046000	14
20220426 124019	0	0	0	1	auto	depthwise	256	0	1	0.108218143748934	0.495986862620339	10	18	0.0167043947886365	36	12533000	15
20220426 124152	0	0	0	1	auto	depthwise	256	0	1	0.29272482904396	0.801935414345935	6	4	0.0291545204764892	15	10306000	16
20220426 124438	0	0	0	1	auto	depthwise	256	0	1	0.14086950936215	0.303946525910869	0	13	0.0116233548489011	4	7943000	17
20220426 125452	0	0	0	1	auto	depthwise	256	0	1	0.0947705713099567	0.89153406733647	7	28	0.04310780732485	25	7504000	18
