Feature	Gain	Cover	Frequency
ctrx_quarter	0.203395199866023	0.0378378319989421	0.022777973464835
cpayroll_trx	0.104699933552266	0.0425073364544079	0.0159680638722555
mpasivos_margen	0.0891069985149416	0.0206519713579178	0.0238346835740284
mpayroll	0.0551058968187772	0.0653949908340549	0.0240695080427381
mtarjeta_visa_consumo	0.0504120489692719	0.0161846378836875	0.0135024069508043
ctarjeta_visa_trx	0.0290936433156793	0.0101675069192712	0.0102148643888693
mprestamos_personales	0.0286576501980079	0.0413108283580673	0.023482446870964
mcaja_ahorro	0.0283292148766959	0.007874067333947	0.0160854761066103
mcuentas_saldo	0.0282051467302315	0.0358595504141124	0.0366326171187038
mactivos_margen	0.0243706018191743	0.0268203539429365	0.0287659974169308
mrentabilidad_annual	0.0241147554892531	0.0291480304043029	0.0398027474462839
Visa_msaldopesos	0.0215210342374053	0.0236534186893981	0.0224257367617706
Visa_msaldototal	0.019016765141602	0.0105589180186136	0.0112715744980627
Master_fechaalta	0.0151452134885276	0.0280261236277028	0.0311142421040272
chomebanking_trx	0.013372451263526	0.0213832396415322	0.0314664788070917
cliente_edad	0.0117863198645955	0.0244276429176563	0.0326406011506399
Master_Fvencimiento	0.011621291261946	0.0204343603593669	0.0295878830574146
Visa_fechaalta	0.0112221414213511	0.0111534010696137	0.0216038511212868
numero_de_cliente	0.0108043158819087	0.0137261075783194	0.0254784548549959
mcaja_ahorro_dolares	0.0107989760991405	0.0227343392461423	0.0285311729482212
ccomisiones_otras	0.00979920882491203	0.0130621868337617	0.0125631090759657
mcomisiones_otras	0.00978248710590306	0.010149720019324	0.0177292473875778
Visa_mpagominimo	0.00939134384315774	0.0146442787852627	0.0225431489961254
mcuenta_corriente	0.0092920563290855	0.0118172079818869	0.0197252553716097
Visa_Fvencimiento	0.00928709174040405	0.00990205729765964	0.0206645532464483
mrentabilidad	0.00768388244327677	0.00981979288540375	0.0177292473875778
Visa_mpagospesos	0.00737620438393472	0.0110964558637914	0.0180814840906422
mcomisiones	0.0066585271806865	0.00701819629412555	0.0133849947164495
cliente_antiguedad	0.00663068480075157	0.00564793411429999	0.0154984149348362
Master_mpagospesos	0.00606005102334991	0.0278732517135186	0.016907361747094
Visa_mfinanciacion_limite	0.0060364244184843	0.0095278639368419	0.0152635904661266
mtransferencias_recibidas	0.00595392128744615	0.00844929093119163	0.0151461782317718
Visa_mconsumospesos	0.00595281067416846	0.00829068138547492	0.0159680638722555
mtransferencias_emitidas	0.0058643774292902	0.00621737164074207	0.0170247739814489
Master_mfinanciacion_limite	0.00584423865886495	0.00951545621782915	0.0152635904661266
mpagomiscuentas	0.00561578498062796	0.0245079939787469	0.0136198191851591
ccaja_ahorro	0.00507729848262079	0.0289669062858861	0.0120934601385464
ctransferencias_recibidas	0.00485032001286342	0.0163103159916888	0.0106845133262886
mtarjeta_visa_debitos_automaticos	0.00471127527154819	0.00945890579205741	0.0122108723729013
Master_mlimitecompra	0.00452443003551058	0.00651894484796267	0.0109193377949982
Visa_mlimitecompra	0.00447391746659739	0.0139933639847023	0.0124456968416109
cproductos	0.00446864268531328	0.00805813655998032	0.00927556651403076
ctarjeta_debito_trx	0.00381875468201764	0.0113056020999082	0.00939297874838558
mcomisiones_mantenimiento	0.00315556974247782	0.00440097894020874	0.00692732182693437
mplazo_fijo_dolares	0.00306554451237122	0.027842521840625	0.00857109310790184
thomebanking	0.00297496424765269	0.00317086125637254	0.00540096278032171
cprestamos_personales	0.00288881528778186	0.0013903281474267	0.00164377128096748
ccaja_seguridad	0.00285995687619687	0.0199514281032699	0.00786661970177292
ccallcenter_trx	0.00281699834410256	0.0158524437919309	0.00798403193612774
Master_msaldopesos	0.00267912970073574	0.00567861554792354	0.00587061171774099
Visa_mpagado	0.00262156905925207	0.0156025940372256	0.00939297874838558
mautoservicio	0.00257785846277562	0.00587968453576644	0.00692732182693437
mcuenta_debitos_automaticos	0.00253723642452647	0.00829992602015609	0.00657508512386991
Visa_cconsumos	0.00207430132196265	0.00236182856868608	0.00551837501467653
ctarjeta_debito	0.00203739476789286	0.00495780530270405	0.00657508512386991
ctransferencias_emitidas	0.00203563184363925	0.00295103658318225	0.00575319948338617
Master_cconsumos	0.00182624683362529	0.00617751096545186	0.00516613831161207
Visa_mconsumototal	0.00175823537316439	0.00209839159874339	0.00375719149935423
cpagomiscuentas	0.00170936788071063	0.00471068025693681	0.00516613831161207
ccuenta_debitos_automaticos	0.00170254393750241	0.00615527734051783	0.00504872607725725
Master_msaldototal	0.00150200866781812	0.00304292587838888	0.00352236703064459
Master_fultimo_cierre	0.00127521378065005	0.00230539924108936	0.00328754256193495
cseguro_accidentes_personales	0.00119441422323225	0.00666584662211827	0.00387460373370905
Visa_mconsumosdolares	0.00112395305151893	0.00173641219985835	0.00340495479628977
tcuentas	0.00111928688579888	0.0084364085073328	0.00270048139016085
mtarjeta_visa_descuentos	0.00111867307982096	0.0150996733163596	0.0110367500293531
tcallcenter	0.00102592791167083	0.00412784200644679	0.00246565692145122
Master_mpagominimo	0.000941543385149527	0.00177503282983635	0.0023482446870964
ctarjeta_visa_debitos_automaticos	0.000920098160947074	0.00213900792664574	0.00246565692145122
ccomisiones_mantenimiento	0.000828052292670694	0.00061374008279211	0.00199600798403194
catm_trx	0.000791823647091454	0.00346916723483105	0.00258306915580604
mtarjeta_master_consumo	0.000705307575527743	0.0030060078887517	0.00187859574967712
Master_mconsumospesos	0.00062583053454388	0.00161992786530477	0.00270048139016085
matm	0.000594869464318769	0.00130067674649447	0.00140894681225784
