numero_de_cliente,Predicted
37732816,1
28471994,1
28847154,1
39707740,1
36189929,1
37433500,1
20929213,1
13883726,1
33348478,1
6572354,1
30784065,1
25278870,1
5883890,1
30197068,1
42793114,1
28539859,1
18028090,1
30241754,1
29165966,1
28034163,1
44141583,1
41205186,1
13178294,1
9054461,1
39124984,1
28497715,1
36207145,1
36426073,1
28052347,1
6514279,1
40492431,1
31866960,1
34655158,1
31162951,1
41621777,1
42920289,1
26774941,1
37450182,1
29054933,1
35160945,1
42771830,1
31517643,1
15033439,1
21010944,1
20098233,1
22518563,1
27830629,1
44682050,1
21367358,1
6972615,1
18865428,1
22407084,1
40844108,1
41265706,1
4909783,1
7388682,1
34162606,1
21855031,1
5703299,1
22349945,1
19957829,1
41781182,1
41788838,1
32017266,1
28538715,1
52289985,1
37994859,1
32391753,1
39105063,1
28850591,1
18419372,1
31985363,1
40620480,1
5172762,1
13438365,1
28779679,1
28808267,1
27099775,1
18343079,1
36348322,1
30063513,1
19042913,1
26908402,1
12674144,1
40733234,1
26175858,1
9094937,1
34944605,1
23822836,1
20154072,1
24585112,1
28709760,1
32000176,1
21440325,1
19126224,1
29822989,1
24811351,1
35854724,1
35111889,1
58186946,1
32699745,1
41102510,1
25008099,1
8884947,1
16164626,1
29339061,1
48656419,1
19716910,1
12590879,1
36942950,1
35284610,1
29182679,1
21861829,1
21007652,1
6738278,1
34085530,1
36316369,1
21235688,1
35152839,1
5457777,1
24052905,1
16294142,1
7459006,1
34462556,1
11373830,1
36618119,1
46859717,1
7427194,1
19095468,1
15913610,1
53646867,1
8618851,1
32857416,1
20315540,1
28127459,1
25051026,1
56078139,1
20912411,1
8090749,1
26854542,1
14663570,1
17278374,1
5551557,1
6609887,1
7339811,1
8238105,1
12482975,1
32148537,1
14358368,1
27315247,1
28999194,1
34704766,1
27443635,1
13560456,1
43993564,1
6241020,1
22119154,1
30330240,1
4929773,1
20301318,1
13549775,1
30243055,1
19450427,1
21627755,1
23678760,1
41797835,1
18273734,1
39513876,1
22925154,1
7414345,1
44602583,1
46907545,1
38124176,1
46406621,1
40062498,1
24637404,1
36733151,1
5249895,1
21371536,1
45459164,1
50842125,1
50232826,1
21240573,1
27609762,1
8881230,1
34840244,1
23481414,1
24240225,1
36740201,1
36818826,1
27636918,1
19468152,1
41430944,1
16727477,1
40381112,1
36671708,1
52218379,1
26537744,1
45078158,1
24363250,1
7636575,1
8494299,1
30259755,1
16017810,1
43166656,1
32756461,1
18241948,1
42071280,1
22134023,1
28293536,1
18124264,1
19027789,1
37118383,1
41315117,1
5774465,1
33999862,1
37256930,1
19764954,1
26476970,1
34825784,1
18076772,1
35675302,1
42408118,1
9077646,1
25150784,1
37527905,1
27439340,1
46173160,1
25270869,1
13369300,1
19398170,1
40634108,1
8071007,1
21274816,1
21728179,1
31509198,1
6599042,1
13861603,1
23586381,1
35127072,1
22422836,1
22715620,1
23799626,1
36845174,1
30823414,1
20366726,1
23818158,1
24147781,1
20213677,1
22488065,1
29015823,1
35180680,1
45819743,1
46078538,1
4746681,1
47084743,1
51460639,1
26169823,1
5495888,1
14810185,1
29667955,1
19624814,1
12881442,1
12981053,1
13662539,1
43090953,1
7235369,1
23301998,1
39059083,1
5188825,1
50824322,1
33175565,1
32990688,1
31847199,1
25269888,1
31647381,1
23201200,1
32469394,1
5305821,1
29595598,1
14711307,1
15072005,1
37360553,1
39764857,1
25665010,1
19790486,1
23147953,1
20710746,1
33041450,1
5093318,1
33673784,1
40122336,1
6547121,1
14611976,1
26490234,1
40246294,1
42962785,1
36687598,1
5809196,1
33843068,1
40320043,1
9134688,1
17276540,1
28069057,1
31299428,1
32451566,1
42396566,1
17598792,1
51054510,1
25132079,1
32787650,1
43369505,1
8393822,1
42143869,1
20363365,1
50496101,1
46121113,1
35670929,1
28297551,1
24896724,1
5095570,1
32492762,1
7066119,1
38900627,1
46836344,1
35309935,1
14435714,1
28154040,1
33768949,1
40689736,1
14785530,1
17573722,1
23247796,1
42960649,1
24690940,1
20406024,1
19185547,1
22412566,1
21399409,1
24519221,1
24777296,1
26051448,1
26208936,1
30701108,1
29574087,1
22231208,1
36711845,1
41549973,1
12497213,1
46160351,1
6927486,1
22341990,1
30093581,1
43152339,1
19304340,1
25596124,1
41084612,1
20647654,1
27091874,1
20566893,1
23012390,1
35730377,1
24962817,1
25004901,1
51641438,1
59964374,1
37489339,1
36825436,1
36204079,1
12648923,1
5294424,1
26081607,1
36143346,1
6519661,1
46467363,1
20557908,1
24682935,1
41673585,1
28869497,1
41103204,1
6986328,1
42080431,1
22383396,1
39978935,1
55685497,1
22235421,1
30610885,1
31575589,1
22191140,1
27087099,1
51455726,1
20028851,1
37355708,1
25548378,1
20561543,1
24448720,1
22578473,1
40786657,1
19687190,1
14790814,1
34759562,1
43022852,1
32583290,1
33460014,1
8918879,1
14436549,1
13516201,1
33606249,1
17618826,1
22061619,1
18979845,1
35440769,1
20917165,1
20839464,1
31838896,1
40595887,1
42717653,1
46422103,1
53626673,1
41099780,1
27486970,1
20358517,1
23735811,1
38993980,1
19665256,1
16115237,1
37775903,1
20869893,1
45928562,1
13725902,1
14978543,1
12996880,1
33144824,1
19027321,1
35195879,1
35690432,1
43520389,1
43854300,1
53018030,1
39661499,1
43972593,1
30614523,1
14746675,1
51637036,1
51596921,1
46060128,1
40774392,1
28776531,1
31566130,1
41445242,1
19334170,1
25238174,1
5226807,1
13239904,1
26911188,1
35169399,1
37686644,1
50398086,1
5928319,1
23907141,1
31998218,1
36732664,1
36246852,1
44297739,1
18789471,1
27663075,1
44065676,1
46200702,1
34849343,1
32836021,1
38111308,1
40012072,1
17704377,1
34632186,1
20525883,1
20172164,1
45622002,1
32579925,1
46763126,1
24671855,1
19369305,1
49443460,1
13962935,1
18615819,1
19274718,1
21866076,1
22679161,1
25819098,1
54991789,1
24408875,1
35586646,1
38576113,1
40319688,1
16367092,1
34504672,1
6290752,1
7996756,1
24552408,1
36596165,1
50517370,1
50826292,1
43492184,1
23127369,1
8951388,1
18476662,1
20169145,1
16125963,1
41009770,1
42619905,1
20978008,1
23520028,1
22457299,1
22472153,1
8231791,1
46835458,1
16104251,1
46506492,1
38534585,1
44085449,1
27277152,1
52262207,1
38452539,1
43921269,1
51009318,1
40074486,1
5867566,1
44126506,1
26467913,1
41278552,1
24466869,1
42202510,1
33346182,1
19349469,1
4767494,1
30853890,1
20096640,1
23039791,1
24604895,1
42968631,1
47840981,1
43229952,1
21630865,1
57964235,1
24361531,1
35446151,1
22478734,1
33799900,1
16871161,1
19394711,1
28493759,1
33903729,1
17515511,1
19954207,1
25457985,1
19527296,1
12669570,1
39236702,1
21967610,1
27909656,1
42077167,1
38056993,1
19021710,1
55756729,1
36698264,1
29186691,1
14502582,1
18695009,1
28485946,1
35152135,1
14297163,1
32403006,1
6843458,1
40375413,1
38551380,1
8333845,1
53597513,1
22568778,1
25063897,1
34814075,1
22987176,1
24897126,1
38874769,1
5169106,1
31297917,1
49988058,1
27177234,1
40567286,1
51394204,1
15037913,1
47849649,1
4729097,1
31456410,1
31810483,1
50738415,1
24750511,1
43133747,1
51381641,1
21181599,1
23992746,1
25577589,1
32721049,1
41774723,1
52851099,1
30974911,1
51174248,1
33903252,1
8096929,1
25950489,1
42385002,1
13546668,1
43866982,1
8950037,1
7368340,1
46049585,1
35860675,1
7163854,1
38180455,1
31643866,1
40688049,1
25431168,1
38856827,1
18186885,1
22343693,1
24721577,1
21647591,1
6062292,1
34850059,1
36175679,1
26789367,1
51434847,1
22618491,1
19837252,1
34880928,1
6838755,1
36980916,1
24865220,1
19686760,1
39125892,1
23600858,1
56481290,1
18028976,1
31689133,1
16893202,1
9086269,1
38116960,1
56118314,1
22737083,1
6663059,1
22136112,1
4993198,1
20931757,1
42855578,1
24778480,1
26852811,1
46938722,1
51728406,1
20928820,1
37275079,1
44503058,1
7111467,1
29373779,1
40805287,1
18691362,1
35893806,1
7057322,1
13792422,1
30760506,1
6270909,1
42811809,1
33195951,1
18931191,1
21245822,1
23545493,1
36145353,1
38242633,1
32780773,1
7855943,1
36080112,1
19767248,1
24002136,1
19669167,1
23613967,1
14874223,1
5441736,1
16428639,1
17571466,1
8136164,1
21778567,1
21948798,1
6422978,1
30553774,1
29693160,1
6956075,1
24228447,1
31024790,1
14876454,1
34696601,1
35686329,1
28328402,1
30246473,1
30274351,1
20696920,1
39425358,1
8722473,1
29135898,1
7003774,1
28843840,1
18798999,1
39270440,1
47642979,1
56599920,1
18728788,1
42856225,1
26342372,1
44141664,1
14120533,1
39305073,1
35775280,1
6364928,1
18288977,1
23427194,1
32263209,1
29606744,1
49683625,1
46200705,1
6574148,1
8635397,1
24369618,1
37267363,1
31511749,1
56800005,1
16898832,1
46080703,1
